Country,Name,Initialisms/Acronym,Founded,Terminated,Capabilities of the space agency,,,,Remarks
,,,,,Astronauts,Operates Satellites,Sounding Rockets capable,Recoverable Biological Sounding Rockets capable,
Bangladesh,Space Research and Remote Sensing Organization,SPARRSO,1980,—,No,Yes,No,No,[4]
People's Republic of China,China National Space Administration (Chinese: ?????),CNSA,22 April 1993,—,Yes,Yes,Yes,Yes,[5]
India,Indian Space Research Organisation (Hindi: ?????? ???????? ???????? ?????),ISRO ????,15 August 1969,—,Yes,Yes,Yes,Yes,[6][7][8]
Indonesia,Indonesian: Lembaga Antariksa dan Penerbangan Nasional (National Institute of Aeronautics and Space),LAPAN,27 November 1964,—,Yes,Yes,Yes,No,[citation needed]
Iran,Iranian Space Agency (Persian: ?????? ????? ??????),ISA,2003,—,No,Yes,Yes,Yes,[9][10][11]
Israel,Israeli Space Agency (Hebrew: ?????? ???? ?????????),ISA ??"?,April 1983,—,Yes,Yes,Yes,No,[citation needed]
Japan,Japan Aerospace Exploration Agency (Japanese: ??????????),JAXA,1 October 2003,—,Yes,Yes,Yes,Yes,[12][13]
Malaysia,Malaysian National Space Agency (Malay: Agensi Angkasa Negara),ANGKASA,2002,—,Yes,Yes,No,No,[14]
North Korea,Korean Committee of Space Technology (Korean: ???????????),KCST,1980s,2013,No,Yes,Yes,No,[15][16][17]
Pakistan,Pakistan Space and Upper Atmosphere Research Commission (Urdu: ??????? ????? ? ???? ????? ???????? ??????),SUPARCO ??????,16 September 1961,—,No,No,No,No,[citation needed]
Philippines,Philippine Space Agency,PhilSA,8 August 2019,—,No,Yes,No,No,[18]
South Korea,Korea Aerospace Research Institute (Korean: ?????????),KARI,10 October 1989,—,Yes,Yes,Yes,No,[citation needed]
Republic of China,National Space Organization (Chinese: ??????),NSPO,3 October 1991,—,No,Yes,Yes,No,[19]
Thailand,Geo-Informatics and Space Technology Development Agency (Thai: ??????????????????????????????????????????),GISTDA ????,3 November 2002,—,No,Yes,No,No,[20]
