Name,Vendor,License,Transactional,Under active development,MySQL versions,MariaDB versions
Archive,Oracle,GPL,No,Yes,5.0 - present,5.1 - present
Aria,MariaDB,GPL,No,Yes},None,5.1 - present
Berkeley DB,Oracle,AGPLv3,Yes,No,? - 5.0,None
BLACKHOLE,Oracle,GPL,No,Yes,5.0 - present,5.1 - present
CONNECT,MariaDB,GPL,No,Yes,None,10.0 - present
CSV,Oracle,GPL,No,Yes,5.0 - present,5.1 - present
Falcon,Oracle,GPL,Yes,No,?,None
Federated,Oracle,GPL,?,No,5.0 - present,?
FederatedX,MariaDB,GPL,Yes,No,None,? - present
InfiniDB,Calpont,GPL,Yes,No,None,None
InnoDB,Oracle,GPL,Yes,Yes,3.23 - present,5.1 - present
MEMORY,Oracle,GPL,No,Yes,3.23 - present,5.1 - present
Mroonga,Groonga Project,GPL,No,Yes,None,10.0 - present
MyISAM,Oracle,GPL,No,No,3.23 - present,5.1 - present
MyRocks,Facebook,GPLv2,Yes,Yes,None,10.2 - present
NDB,Oracle,GPLv2,Yes,Yes,?,None
OQGRAPH,Oracle,GPLv2,No,No,None,5.2 - present
S3,MariaDB,GPL,No,Yes,None,10.5 - present
SEQUENCE,MariaDB,GPL,No,Yes,None,10.0 - present
Sphinx,Sphinx Technologies Inc.,GPL,No,No,None,5.2 - present
SPIDER,Kentoku Shiba,GPL,Yes,Yes,None,10.0 - present
TempTable,Oracle,GPL,No,Yes,8.0 - present,None
TokuDB,Percona,Modified GPL,Yes,No,None,5.5 - present
XtraDB,Percona,GPL,Yes,Yes,None,5.1 - 10.1
