,Server OS support,,,Features,,,,,,,,,,,,Storage,,Users
Mail server,Linux/ Unix,Windows,Mac OS,SMTP,POP3,IMAP,JMAP,IMAP IDLE,SMTP over TLS,POP over TLS,IPv6,SSL,DANE,Webmail,ActiveSync,Sieve,Database,Filesystem
agorum core,Yes,Yes,No,Yes,No,Yes,?,No,No,No,No,Yes,No,Yes,No,No,Yes,No
Apache James,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,No,No,Yes,Yes,Yes
Axigen,Yes,Yes,No,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?,"Ajax, Basic & Mobile",Yes,Yes,"Proprietary, Embedded, Optimized for Email & Groupware",Yes
Citadel,Yes,No,Yes,Yes,Yes,Yes,?,No,Yes,Yes,Yes,Yes,?,Yes,No,Yes,Yes,No
CommuniGate Pro,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,?,Yes,Yes
Courier Mail Server,Yes,No,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,No,Yes,No,maildrop,No,maildir
Cyrus IMAP,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes[3],Yes,Yes,Yes,?,No,No,Yes,Yes (indexes),Yes
Dovecot,Yes[5],No,Yes,Yes[6],Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?,No,No,Yes,Yes,"maildir, mbox, dbox"
Eudora Internet Mail Server,No,No,Yes,Yes,Yes,Yes,?,?,No,No,?,No,?,No,No,?,No,No
Exim,Yes,Yes (via Cygwin),Yes,Yes,"Dovecot, UW IMAP","Dovecot, UW IMAP",?,"Dovecot, UW IMAP",Yes,No,Yes,Yes,Yes[8],No,No,Yes,Yes,Yes
FirstClass,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,?,Yes,?,Yes,Yes,?,Yes,Yes
Gordano Messaging Suite,Yes,Yes,No,Yes,Yes,Yes,?,Yes,Yes,Yes,?,Yes,?,Yes,Yes,No,Yes,Yes
GroupWise,Yes,Yes,No,Yes,Yes,Yes,?,?,Yes,Yes,?,Yes,?,Yes,Yes,?,Yes,No
Halon,Yes,No,No,Yes,No,No,?,No,Yes,No,Yes,Yes,Yes[10],No,No,?,Yes,Yes
Haraka,Yes,Yes,Yes,Yes,No,No,?,No,Yes,No,Yes,Yes,?,No,No,?,Yes,Yes
hMailServer,No,Yes,No,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?,Yes,No,?,Yes,Yes
IBM Lotus Domino,Yes,Yes,No,Yes,Yes,Yes,?,No,Yes,Yes,Yes,Yes,No,Yes,No,?,Yes,No
IceWarp Mail Server,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Ipswitch IMail Server,No,Yes,No,Yes,Yes,Yes,?,Yes (since v12.2)[11],Yes,Yes,?,Yes,?,Yes,Yes,?,No,Yes
Kerio Connect,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,Yes
Kolab,Yes,No,No,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kopano,Yes,Yes,Yes,External[12],Yes,Yes,?,Yes,External[12],Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Mailsite,No,Yes,No,Yes,Yes,Yes,?,?,Yes,Yes,?,Yes,?,Yes,Yes,Yes,Yes,Yes
Mailtraq,No,Yes,No,Yes,Yes,Yes,?,Yes,Yes,Yes,?,Yes,?,Yes,No,?,Yes,Yes
MDaemon,No,Yes,No,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
Mercury Mail Transport System,No,Yes,No,Yes,Yes,Yes,?,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes
Microsoft Exchange Server,No,Yes,No,Yes,Yes,Yes,No,Yes[14][15],Yes,Yes,Yes [16],Yes,No,Yes,Yes,3rd Party support,Yes,Yes
NetMail,Yes,Yes,No,Yes,Yes,Yes,?,?,Yes,Yes,?,Yes,?,Yes,No,?,Yes,No
OpenSMTPD,Yes,No,Yes,Yes,No,No,?,No,Yes,No,Yes,Yes,No[17],No,No,?,possible through custom backends,Yes
Open-Xchange,Yes,No,No,Yes,Yes,Yes,?,?,Yes,Yes,?,Yes,?,Yes,Yes,?,Yes,No
Oracle Communications Messaging Server,Yes,No,No,Yes,Yes,Yes,?,?,Yes,Yes,?,Yes,?,Yes,No,?,Yes,Yes
Postfix,Yes,No,Yes,Yes,"Dovecot, UW IMAP","Dovecot, UW IMAP",?,"Dovecot, UW IMAP",Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
qmail,Yes,No,Yes,Yes,Yes,"Dovecot, UW IMAP",?,"Dovecot, UW IMAP",No,"Dovecot, UW IMAP",via Qsmtp,No,No,No,No,?,(cdb),Yes
Qpopper,Yes,Yes (via Cygwin),Yes,No,Yes,No,?,No,No,Yes,?,Yes,?,No,No,?,No,Yes
Scalix,Yes,?,?,Yes,Yes,Yes,?,Yes,Yes (via Stunnel),Yes (via Stunnel),?,Yes (via Stunnel),?,Yes,Yes,?,Yes,Yes
Sendmail,Yes,No,Yes,Yes,"Dovecot, UW IMAP","Dovecot, UW IMAP",?,"Dovecot, UW IMAP",Yes,No,Yes,Yes,?,No,No,No,?,Yes
SparkEngine,Yes,Yes,Yes,Yes,No,No,?,No,Yes,No,?,Yes,?,No,No,?,Yes,Yes
UW IMAP,Yes,Yes,Yes,No,Yes,Yes,?,Yes,No,Yes,Yes,Yes,No,WebPine,No,No,Yes (Indexes),Yes
WinGate,No,Yes,No,Yes,Yes,Yes,?,Yes,Yes,Yes,No,Yes,?,Yes,No,?,No,Yes
Zarafa,Yes,No,No,External[12],Yes,Yes,?,Yes,External[12],Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Zentyal,Yes,No,No,Yes,Yes,Yes,?,Yes,Yes,Yes,No,Yes,?,Yes,Yes,?,Yes,Yes
