Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
While-in-use permissions,10+,11+: Location only[31],No,No,Yes
Per-app Internet access,"No,[32] 3rd party software[33]",7+: Cellular only;[34] 3rd party software on jailbroken devices[35],No,No,No
Per-app identity access,8+[36],6+[37][38],No,No,Yes
Per-app user data access,6+[39],6+[40],No,No,Yes
Per-app background execution,"No,[41] 3rd party apps available[42]",7+[43],No,No,Background execution not allowed
Per-app notifications,4.1+[44],5+[45][46],No,No,Yes
Per-app location access,6+[39],4+[47],No,No,Yes
Per-app camera access,6+[39],8+[48],No,No,Yes
Per-app microphone access,6+[39],7+[49],No,No,Yes
Per-app shared files access,6+[39],8+[50],No,No,Yes
Per-app network data usage auditing,4+[51],Yes[52],?,No[53],No
Fine grained storage usage,Yes[54],5+[55],?,No,Yes
Parental controls,4.3+ or 3rd party software[56],Yes[57],?,No,No
Screen orientation lock,Yes[58],Yes[59],?,1.0.4+[60],Yes
File manager,6.0+[61],11+[62],3rd party software[63],Yes[64],Yes
File manager write access to external storage,6+ Or 3rd party software like LineageOS,13+,Yes,Yes,Yes
Multi-user,"4.2+, including phones 5+[65][66]",9.3+: Education use only on iPad[67],No,3.4.0+,No
Guest mode,5+[68],6+[69],No,3.4.0+,No
Guided Access,No,Yes[70],No,No,No
Do not disturb mode,5+[71],6+[72],No,No,No
App groups,Yes,4+[73],?,1.0.7+[74],Yes
