Name,Code review,Bug tracking,Web hosting,Wiki,Translation system,Shell server,Mailing list,Forum,Personal repository,Private repository,Announce,Build system,Team,Release binaries,Self-hosting
Assembla,Yes[22],Yes,Yes,Yes,Yes,No,No,No,Yes,Yes[23],Yes,Yes,Yes,Unknown,No
Azure DevOps Services,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commercially (Azure DevOps Server)
Bitbucket,Yes[24],Yes[a],Yes[25],Yes,No,No,No,No,Yes,Yes[b],No,Yes[26],Yes,No[27],Commercially (Bitbucket Server formerly Stash)[c]
Buddy,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes[d],Yes,Yes,Yes
CloudForge,Unknown,Yes,Yes,Yes,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
GForge,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gitea,Yes,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,"3rd-party (e.g. Travis CI, Appveyor and others)[28]",Yes,Unknown,Yes
GitHub,Yes[29],Yes[30][e],Yes[31],Yes,No,No,No,No,Yes,Yes[f],Yes,"3rd-party (e.g. Travis CI, Appveyor and others)[32]",Yes,Yes,Commercially (GitHub Enterprise)
GitLab,Yes[33],Yes,Yes[34],Yes,No,No,No,No,Yes,Yes,Yes,Yes[35],Yes,Yes[36],Yes[g]
GNU Savannah,Yes[37],Yes,Yes,No,No,Yes,Yes,No[38],No,No,Yes,No,Yes,Unknown,Yes
Helix TeamHub,Yes[39],Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,"Yes, with hooks. Jenkins, TeamCity, etc.",No,Yes,Yes
java.net/Project Kenai,Unknown,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No
Kallithea,Yes,No,Yes,No,No,Unknown,No,No,Yes,Yes,No,No,Yes,Yes,Yes
Launchpad,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes[h],Yes,Yes[i],Yes,Unknown,Yes
OSDN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
Ourproject.org,Unknown,Yes,Yes,Yes,No,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
Phabricator,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
RhodeCode,Yes,No,Yes,No,No,Unknown,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
SourceForge,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes[j],Yes,No,Yes,Yes,Yes
Name,Code review,Bug tracking,Web hosting,Wiki,Translation system,Shell server,Mailing list,Forum,Personal repository,Private repository,Announce,Build system,Team,Release binaries,Self-hosting
