Vehicle,Origin,Manufacturer,Mass to ... (kg),,,Launches (+ suborbital),Date of flight,
,,,LEO,GTO,Other,,First,Last
Antares 110–130,United States,Orbital,"5,100[7]",,"1,500 to SSO",5[7],2013,2014
Ariane 1,Europe,Aérospatiale,"1,400","1,830[182]",,11[182],1979,1986
Ariane 2,Europe,Aérospatiale,,"2,270[182]",,6[182],1986,1989
Ariane 3,Europe,Aérospatiale,,"2,650[182]",,11[182],1984,1989
Ariane 4 40,Europe,Aérospatiale,"4,600[182]","2,105","2,740 to SSO",7[182],1990,1999
Ariane 4 42L,Europe,Aérospatiale,"7,000[182]","3,480","4,500 to SSO",13[182],1993,2002
Ariane 4 42P,Europe,Aérospatiale,"6,000[182]","2,930","3,400 to SSO",15[182],1990,2002
Ariane 4 44L,Europe,Aérospatiale,"7,000[182]","4,720","6,000 to SSO",40[182],1989,2003
Ariane 4 44LP,Europe,Aérospatiale,"7,000[182]","4,220","5,000 to SSO",26[182],1988,2001
Ariane 4 44P,Europe,Aérospatiale,"6,500[182]","3,465","4,100 to SSO",15[182],1991,2001
Ariane 5 G,Europe,EADS Astrium,"18,000[12]","6,900[12]",,16[12],1996,2003
Ariane 5 G+,Europe,EADS Astrium,,"7,100[12]",,3[12],2004,2004
Ariane 5 GS,Europe,EADS Astrium,"16,000[183]","6,600[12]",,6[12],2005,2009[184]
Ariane 5 ES,Europe,EADS Astrium,"21,000[9]","8,000[12]",,8[12],2008,2018
ASLV,India,ISRO[185],150[186],,,4[186],1987,1994
Athena I,United States,Lockheed Martin,795[187],515,,4[188],1995,2001
Athena II,United States,Lockheed Martin,"1,800[189]",,,3[190],1998,1999[191]
Atlas-Centaur,United States,Lockheed,"1,134[192]","2,222[193]",,148,1962,1983
Atlas G,United States,Lockheed,"5,900[194]","2,222","1,179 to HCO[194]",7[194],1984,1989
Atlas H/MSD,United States,Lockheed,"3,630[195]",,,5,1983,1987
Atlas I,United States,Lockheed Martin,"5,900[194]","2,340[194]",,11[194],1990,1997
Atlas II,United States,Lockheed Martin,"6,780[194]","2,810","2,000 to HCO[194]",10[194],1991,1998
Atlas IIA,United States,Lockheed Martin,"7,316[194]","3,180","2,160 to HCO[194]",23[194],1992,2002
Atlas IIAS,United States,Lockheed Martin,"8,618[194]","3,833","2,680 to HCO[194]",30[194],1993,2004
Atlas IIIA,United States,Lockheed Martin,"8,686[194]","4,060","2,970 to HCO[194]",2[194],2000,2004
Atlas IIIB/DEC,United States,Lockheed Martin,"10,759[194]","4,609[194]",,1[194],2002,2002
Atlas IIIB/SEC,United States,Lockheed Martin,"10,218[196]","4,193[194]",,3[194],2003,2005
Black Arrow,United Kingdom,RAE,73[197],,,2 (+2),1969[a],1971
Commercial Titan III,United States,Martin Marietta,"13,100[198]",,,4,1990,1992
Delta 0300,United States,McDonnell Douglas,,340[199],747 to SSO[200],3[201],1972,1973[202]
