Model,Launch,Code name and Architecture,Fab (nm),Transistors (million),"Core config1,2",Core clock (MHz),Fillrate,,,,Ray-tracing Performance,,Memory,,,,,Bus interface,API compliance (version),,,Processing power (GFLOPS),Architecture features
,,,,,,,MOperations/s,MPixels/s,MTexels/s,MTri/s,GRays/s (triangles),GRays/s (voxels or boxes),Size (MiB),Clock (MHz),RAM type,Bus width (bit),Bandwidth (GB/s),,Direct3D,OpenGL,other,,
Flipper (GameCube) [432][433][434][435][436],"September 14, 2001",Flipper,NEC 180 nm[437],51[438],4(Pixel Pipelines):1(Vertex Pipeline):4:4,162,648,648,648,60,-,-,24 shared 16 shared 3 eDRA,324 81 162,1T-SRAM SDRAM eDRAM,64 8 512,3.2 1.6 12.8/9.63,Integrated,No,Unknown,Unknown,9.4,"Fixed-function T&L, TEV register combiner"
Xenos (Xbox 360)[439][440],"November 22, 2005",Xenon Zephyr Opus Falcon Jasper Vejle Corona,TSMC 90 nm 90 nm 65/80 nm 65/80 nm 65 nm[441] 45 nm[442] 45 nm,232[443],240(48x5):16:8,500,"240,000",4000,8000,500,-,-,512 (shared) 10 eDRAM,700 500,GDDR3 eDRAM,128,22.4 32 (GPU to daughter die) 256 (Daughter die ROP to eDRAM),,9.0c+,No,Unknown,240,Surface tessellation
Hollywood (Wii)[444],"November 19, 2006",Hollywood,NEC 90 nm,,4(Pixel Pipelines):1(Vertex Pipeline):4:4,243,972,972,972,70,-,-,24 shared 64 shared 3 eDRAM,486 Unknown 243,1T-SRAM GDDR3 eDRAM,64 Unknown 512,4.8 4 19.2/14.4,,No,Unknown,Unknown,14.1,"Fixed-function T&L, TEV register combiner"
Latte (Wii U)[445],"November 18, 2012",Latte,Renesas 45 nm,,160:16:8,550,"176,000",4400,8800,366,-,-,2048 (shared) 32 eDRAM,800 (1600 effective) 550,DDR3 eDRAM,64 1024,12.8 70.4,,No,Unknown,Unknown,176,
Durango (Xbox One)[446],"November 22, 2013",Durango (GCN based),TSMC 28 nm (One S) 16 nm,"4,800[447]",768:48:16,"853, (One S) 914","1,310,208, (One S) 1,403,904","13,648, (One S) 14,624","40,944, (One S) 43,872",1300,-,-,8192 (shared) 32 eSRAM,1066.5 (2133 effective) 1706 (3412 effective),DDR3 eSRAM,,"68.3 218, 219 (One S)",,11.2[448] 12,No,Mantle technically possible,"1310.2, (One S) 1403.9","Tiled resources, (One S) Upscaled 4K HDR support"
Liverpool (PlayStation 4)[449],"November 15, 2013",Liverpool (GCN based),TSMC 28 nm 16 nm,,1152:72:32,800,"1,843,200","25,600","57,600",1707,-,-,8192 (shared),1375 (5500 effective),GDDR5,256,176,,No,4.2,"GNM, GNMX, PlayStation Shader Language, Mantle technically possible",1843.2,HDR possible (only 2K)
Neo (PlayStation 4 Pro)[450][451][452],"November 10, 2016",Ellesmere GCN 4,TSMC 16 nm,"5,700",2304:144:64,911,"4,197,888","58,304","131,200",3078,-,-,,1700 (6800 effective),,,217.6,,No,4.2 (4.5),,4197.8,"4K HDR possible, Full Compatible PS4 mode with reduced power consumption"
Scorpio Engine (Xbox One X)[453][454],"November 7, 2017",Jaguar,,"6,600[447]",2560:160:32,1172,"6,000,640","37,504 [455]","187,520",4400,-,-,12288 (shared),,,384,326.4,,11.2 12,No,Unknown,6000.6,"4K HDR support, supersampling"
Lockhart (Xbox Series S),"November 10, 2020",Project Lockhart RDNA 2,TSMC 7 nm,"8,000",1280:80:32,1565,"FP32: 4,006,400 FP16: 8,012,800","50,080","125,200",2400,31.3,125,"8,192 (GPU) + 2,048 (shared) + Infinity Cache ??? MB",1750,GDDR6,128,224(GPU) + 56(Standard) + ??? (Infinity Cache),,12U,No,?,FP32: 4006 FP16: 8013,"DirectX Raytracing, 4K HDR support, Variable Refresh Rate, 120 Hz support"
Scarlett (Xbox Series X)[447],,Project Scarlett RDNA 2,,"15,300",3328:208:64,1825,"FP32: 12,147,200 FP16: 24,294,400","116,800","379,600",7300,94.9,379.6,"10,240 (GPU) + 6,124 (shared) + Infinity Cache ??? MB",,,320,560(GPU) + 336(Standard) + ??? (Infinity Cache),,,No,,FP32: 12147.2 FP16: 24294.4,"DirectX Raytracing, 8K HDR support, Variable Refresh Rate, 120 Hz support [456]"
Oberon (PlayStation 5),"November 12, 2020",Oberon RDNA 2,,?,2304:144:64,2233 (Variable/Continuous Boost),"FP32: 10,289,664 (Boost) FP16: 20,579,328 (Boost)","142,912 (Boost)","321,552 (Boost)",6200 (Boost),80.3 (Boost),321.5 (Boost),"16,384 (shared) + Infinity Cache ??? MB",,,256,448 + ??? (Infinity Cache),,No,4.6,?,FP32: 10289.6 (Boost) FP16: 20579.2 (Boost),"8K HDR support, 120 Hz support, Raytracing"
Model,Launch,Code name and Architecture,Fab (nm),Transistors (million),"Core config1, 2",Core clock (MHz),Million Operations/s,Million Pixels/a,MTexels/s,MTri/s,GRays/s (triangles),GRays/s (voxels or boxes),Size (MiB),Clock (MHz),RAM type,Bus width (bit),Bandwidth (GB/s),Bus interface,Direct3D,OpenGL,Other,Processing power (GFLOPS),Architecture features
,,,,,,,Fillrate,,,,Ray-tracing Performance,,Memory,,,,,,API compliance (version),,,,
