Rank,Country,U.S. equivalents,GDP(Billions of int$)
1,China China PRC,CanadaCanada,25.398
2,India India,California California Texas Texas New York New York Florida Florida Illinois Illinois Oregon Oregon,11.321
3,Japan Japan,California California Texas Texas New York New York Florida Florida,"5,429"
4,Germany Germany (EU),California California Texas Texas Mississippi Mississippi,"4,170"
5,Russia Russia,California California Texas Texas,"4,007"
6,Indonesia Indonesia,California California Michigan Michigan,"3,244"
7,Brazil Brazil,California California Michigan Michigan,"3,240"
8,United Kingdom United Kingdom,California California Hawaii Hawaii Utah Utah,"2,914"
9,France France (EU),California California Louisiana Louisiana,"2,836"
10,Mexico Mexico,Texas Texas Pennsylvania Pennsylvania,"2,458"
11,Italy Italy (EU),Texas Texas New Jersey New Jersey Vermont Vermont,"2,311"
12,Turkey Turkey,Texas Texas Michigan Michigan,"2,173"
13,South Korea South Korea,Texas Texas Colorado Colorado,"2,029"
14,Spain Spain (EU),Texas Texas West Virginia West Virginia,"1,774"
15,Saudi Arabia Saudi Arabia,Texas Texas West Virginia West Virginia,"1,774"
16,Canada Canada,Texas Texas West Virginia West Virginia,"1,769"
17,Iran Iran,New York New York New Mexico New Mexico,"1,645"
18,Australia Australia,Florida Florida Utah Utah,"1,247"
19,Thailand Thailand,Florida Florida Nevada Nevada,"1,234"
20,Egypt Egypt,Florida Florida Mississippi Mississippi,"1,201"
21,Taiwan Taiwan,Florida Florida Mississippi Mississippi,"1,186"
22,Poland Poland (EU),Florida Florida Mississippi Mississippi,"1,121"
23,Nigeria Nigeria,Florida Florida Mississippi Mississippi,"1,119"
24,Pakistan Pakistan,Pennsylvania Pennsylvania Idaho Idaho,"1,255"
25,Malaysia Malaysia,Illinois Illinois Mississippi Mississippi,931
26,Argentina Argentina,Illinois Illinois New Mexico New Mexico,920
27,Netherlands Netherlands (EU),Illinois Illinois New Mexico New Mexico,916
28,Philippines Philippines,Illinois Illinois North Dakota North Dakota,876
29,South Africa South Africa,Ohio Ohio Mississippi Mississippi,766
30,Colombia Colombia,Ohio Ohio Maine Maine,714
31,Bangladesh Bangladesh,Ohio Ohio Wyoming Wyoming,687
32,UAE UAE,Ohio Ohio Wyoming Wyoming,687
33,Iraq Iraq,Ohio Ohio MassachusettsMassachusetts,659
34,Vietnam Vietnam,New Jersey New Jersey Wyoming Wyoming,647
35,Algeria Algeria,North Carolina North Carolina,633
36,Belgium Belgium (EU),Massachusetts Massachusetts,529
37,Singapore Singapore,Massachusetts Massachusetts,527
38,Sweden Sweden (EU),Virginia Virginia,521
39,Switzerland Switzerland,Virginia Virginia,517
40,Romania Romania (EU),Maryland Maryland Hawaii Hawaii,482
41,Kazakhstan Kazakhstan,Maryland Maryland New Hampshire New Hampshire,478
42,Hong Kong Hong Kong,Maryland Maryland Maine Maine,455
—,Chile Chile,Maryland Maryland Maine Maine,451
43,Austria Austria (EU),Maryland Maryland South Dakota South Dakota,440
44,Peru Peru,Indiana Indiana Maine Maine,424
45,Venezuela Venezuela,Indiana Indiana,381
46,Norway Norway,Indiana Indiana,381
47,Czech Republic Czech Republic (EU),Indiana Indiana,376
48,Ukraine Ukraine,Indiana Indiana,369
49,Qatar Qatar,Tennessee Tennessee,348
50,Ireland Ireland (EU),Colorado Colorado,344
