,Modeling,3D Painting,Animation,Rendering,3D Tracking,Compositing
3ds Max,,,,,,
AC3D,,?,?,,,
Blender,,,,,,
Electric Image Animation System,dropped[6],?,,,,?
Cinema 4D,,,,,R16 or later,
Clara.io,,?,,,,?
Cobalt,,?,,,,?
HiCAD,,,,,,
Houdini,,,,,,
IClone,,?,,,?,?
Lightwave 3D,,,,,,
MakeHuman,parameter-based,,,,,
Maya,,,,,dropped (Maya Live),"dropped (Maya Composer, Maya Fusion, and Maya Composite)"
Metasequoia,,,,,,
Modo,,,,,,
Remo 3D,,,,,,
Shade,,,,,,
Softimage,,3.7 or later,,,,
Solid Edge,,?,,,,?
SketchUp Make,,?,,,,
SketchUp Pro,,?,,,,
Wings3D,,?,,,,?
