Name,Windows,Mac OS X,Linux,Unix,BSD,Other
3ds Max,,,,,,
AC3D,,,,,,
Art of Illusion,,,,,,Anything with Java support
AutoCAD,,,,,,
Blender,,,,,,"Solaris, AmigaOS 4, MorphOS"
Carrara,,,,,,
Cheetah 3D,,,,,,
Cinema 4D,,,,,,Amiga OS
Clara.io,,,,,,"Chrome OS, Android"
DesignSpark Mechanical,,,,,,
Electric Image Animation System,,,,,,
form-Z,,,,,,
HiCAD,,,,,,
Houdini,,,,,,
IClone,,,,,,
LightWave 3D,,,,,,AmigaOS
MakeHuman,,,,,,
Massive,,,,,,
Maya,,,,,,
Metasequoia,,,,,,
Modo,,,,,,
POV-Ray,,,,,,"Amiga OS, Atari TOS"
Remo 3D,,,,,,
Shade,,,,,,
Silo,,,,,,
SketchUp Make,,,,,,
SketchUp Pro,,,,,,
Softimage,,,,,,
Solid Edge,,,,,,
solidThinking,,,,,,
solidWorks,,,,,,
SpaceClaim,,,,,,
trueSpace,,,,,,Amiga OS
Verto Studio 3D,,,,,,iOS
E-on Vue,,,,,,
Wings 3D,,,,,,
ZBrush,,,,,,
