Application,Alembic Importer,USD Importer,Rendering Engine,Volume Rendering for clouds,Interactive Rendering,Isolating light contribution,Light Lister,IES Light,Physical Sun & Sky,Sun Positioning by location and times,Light Portal,Shadow Catcher,IBL and Environment texture,,,Highlight Placement,Light Layers
,,,,,,,,,,,,,Lat Long,sIBL,Light Extraction[22],,
Maya,rowspan=3 ,rowspan=3 (USD for Maya),Maya Hardware 2.0,,,,rowspan=3 Light Editor,,,,,,,,,rowspan=3 (Place Highlight Tool for Maya),
,Maya Software,,,Light Linking,,,,,,Env Sphere,,,,,,,
,Arnold,,,Light Linking,Ai Photometric Light,,,,,,,,,,,,
3ds Max,rowspan=4 ,rowspan=4 ,Quicksilver,,,,rowspan=4 Light Lister,,,,,,,,,rowspan=4 Place Highlight,
,Scanline,,,Light Exclude/Include,,,,,,,sIBL-GUI software,,,,,,
,ARTAutodesk Raytracer,,,,,,,,,,,,,,,,
,Arnold,,,Light Group[25],Ai Photometric Light,,Sun Positioner[26],,,,,,,,,,
Blender,rowspan=3 2.78 and later,rowspan=3 ,Workbench,,,rowspan=3 View Layers[27],rowspan=3 Property Chart Addon / Gaffer addon,,,rowspan=3 Sun Position addon,,,,,,rowspan=3 Look At Gizmo (with Ctrl key),
,EEVEE,,,,,,Shader Node[28],,,,,,,,,,
,Cycles,,,2.80 and later[29],,from 2.75,from 2.79,,sIBL_GUI for Blender addon/ Add Environment nodes addon,,,,,,,,
MODO,,14.1 and later,MODO Renderer,,,Light Linking[30],,Photometric Light,colspan=2 Directional Light[31],Portal,Shadow Catcher,,mm_sIBLToModoEnvironment script,,,,
LightWave,11.6 and later,,LightWave Renderer,,,,,Photometric Light,,,,,,"original loader script, where most sIBL features were invented[32]",,,
Houdini,,Solaris,Mantra (PTPath Tracing) / Karma,,,Light categories,Light bank,,,,,Shadow Matte,,,,Solaris,
Cinema 4D,,R23 and later,CineRender,,,Exclude/Include,,,,,,from R18,,,,,
