ADC hub,FOSS,Software license,Active,Last Update,Notes
ADCH++,,GPL,,2016-03-08 / 2.12.1,
ADCH++ GUI,,GPL,,,
DSHub,,GPL,,2008-10-09 / RC1,
FlexHub,,AGPL,,2013-10-20 / 0.2 svn 1469,
Luadch,,GPLv2,,2019-10-13 / v2.20,
Nexthub,,MIT License,,,
uhub,,GPL,,2014-10-17 / 0.5.0,In Debian[2] and OpenWrt[3]
ErlHub,,GPL,,,
Qhub,,GPL,,2006-07-09 / v0.10,
Starlet ADC Hub,,,,,
Starhub,,source code available,,,
RusHub,,GPL,,2012-07-10 / 2.3.10,
ADC hub,FOSS,Software license,Active,".[4] Operating system support ADC hub Windows Linux OS X Other ADCH++ Linux only GNU GPL GNU GPL, MIT GNU GPL GNU GPL BSD GNU GPL GNU GPL GNU GPL GNU GPL GNU GPL GNU GPL GNU GPL MIT No installable package[8] GNU GPL GNU GPL GNU GPL GNU GPL GNU GPL GNU GPL GNU GPL GNU GPLv2 GNU GPLv2 GNU GPL ,
ADC hub,Windows,Linux,OS X,Other,
ADCH++,,,,,
ADCH++ GUI,,,,Any Python enabled platform,
DSHub,,,,Any Java enabled platform,
FlexHub,,,,,
Luadch,,,,"Raspberry Pi, Synology NAS, any GCC enabled platform",
Nexthub,,,,Any C# enabled platform,
uhub,,,,"BSD, Haiku, OpenWrt, Solaris",
Erlhub,,,,Any Erlang enabled platform,
Qhub,,,,,
Starlet ADC Hub,,,,OpenVMS,
Starhub,,,,Any Java enabled platform,
RusHub,,,,"FreeBSD, Solaris",
ADC hub,Windows,Linux,OS X,Other,
ADC hub,GUI,CLI,Other,Programming language,Based on
ADCH++,,,,"C++, Lua, Python, Ruby",
ADCH++ GUI,,,,"C++, Python",ADCH++
DSHub,,,,"Java, Python",
FlexHub,Planned,,,Lua,
Luadch,,,,"C++, Lua",
Luadch GUI,,,,wxLua,
Nexthub,,,,C-Sharp,
uhub,,,,C,
Erlhub,,,,Erlang,
Qhub,,,,,
Starlet ADC Hub,,,,C,
StarHub,,,,Java,
RusHub,,,,C++,
ADC hub,GUI,CLI,Other,Programming language,Based on
