Model,Codename,UMI,SATA,USB 3.0+2.0+1.1,RAID,NIC,33 MHz PCI,SD1,VGA DAC,TDP (W),Features / notes,Part number
Mobile,,,,,,,,,,,,
A55T,Hudson-M2T[9],×2 Gen 1,1× 3 Gbit/s AHCI 1.1,0 + 8 + 0,rowspan=2 ,rowspan=2 ,rowspan=5 ,SDIO,rowspan=2 ,,,
A50M,Hudson-M1[9],×4 Gen 1[10],6× 6 Gbit/s AHCI 1.2,0 + 14 + 2,,5.9[11],~920 mW idle,100-CG2198[11],,,,
A60M,Hudson-M2[9],×4 Gen 1 +DP,,,"rowspan=3  0,1",rowspan=3 10/100/1000,rowspan=3 ,,4.7,,,
A68M,Hudson-M3L[9],,2× 6 Gbit/s AHCI 1.2,2 + 8 + 0,,~750 mW idle,,,,,,
A70M,Hudson-M3[9],,6× 6 Gbit/s AHCI 1.2,4 + 10 + 2,,First native USB 3.0 controller[12],100-CG2389[11],,,,,
A76M,Bolton-M3[9],,,,,,,,,,,218-0844012
Desktop,,,,,,,,,,,,
A45,Hudson-D1[13],×4 Gen. 2[14],6× 3 Gbit/s AHCI 1.1,0 + 14 + 2,,,Up to 4 slots,,,,,218-0792008
A55,Hudson-D2[13],×4 Gen 2 +DP,,,"rowspan=5  0,1,10",10/100/1000,rowspan=7  Up to 3 slots,rowspan=7 ,rowspan=7 ,7.6,,
A58,Bolton-D2[13],×4 Gen 2,6× 3 Gbit/s AHCI 1.3,0 + 14 + 2,,7.6,,218-0844023,,,,
A68H,Bolton-D2H[13],,4× 6 Gbit/s AHCI 1.3,2 + 10 + 2,,,xHCI 1.0,218-0844029-00,,,,
A75,Hudson-D3[13],×4 Gen 2 +DP,6× 6 Gbit/s AHCI 1.2,4 + 10 + 2,10/100/1000,7.8[11],First native USB 3.0 controller[12],100-CG2386[11],,,,
A78,Bolton-D3[13],,6× 6 Gbit/s AHCI 1.3,,,7.8,xHCI 1.0,218-0844014,,,,
A85X,Hudson-D4[13],,8× 6 Gbit/s AHCI 1.2,,"rowspan=2  0,1,5,10",10/100/1000,7.8,USB 3.0 (xHCI 0.96),,,,
A88X,Bolton-D4[13],×4 Gen 2,8× 6 Gbit/s AHCI 1.3,,,7.8,USB 3.0 (xHCI 1.0),218-0844016,,,,
Embedded,,,,,,,,,,,,
A55E,Hudson-E1[15],×4 Gen 2,6× 6 Gbit/s AHCI 1.2,0 + 14 + 2," 0,1,5,10",10/100/1000, Up to 4 slots,,,5.9[11],,100-CG2293[11]
A77E[16],Bolton-E4[15],"1-, 2-, or 4-lane 2 or 5 GB/s",6× 6 Gbit/s AHCI 1.3,4 + 10 + 2,,, Up to 3 slots,,,,4-lane PCIe 2.0,218-0844020-00
Model,Codename,UMI,SATA,USB 3.0+2.0+1.1,RAID,NIC,33 MHz PCI,SD1,VGA DAC,TDP (W),Features / notes,Part number
