Chart type / Framework,,Adobe Flex built-in charts,Axiis,BirdEye,Flare,Flexmonster,IBM ILOG Elixir,Kap IT Labs,yFiles,amCharts,AnyChart,LiveGap Chart
Cost,,,,,,,",",,,,
License,,MPL,MIT,MIT,BSD,,,,,,,
Open source,,,,,,,,,,,,
Bar/Column charts,Simple,,,,,,,,,,,
,Stacked,,,,,,,,,,,
,Floating (Range),,,,,,,,,,,
,Waterfall,,,,,,,,,,,
,Layered,,,,,,,,,,,
Line charts,Simple,,,,,,,,,,,
,Spline (Curve),,,,,,,,,,,
,Step,,,,,,,,,,,
Pie charts,Simple,,,,,,,,,,,
,Doughnut (Ring),,,,,,,,,,,
,Exploded,,,,,,,,,,,
,Stacked,,,,,,,,,,,
Area charts,Simple,,,,,,,,,,,
,Spline (Curve),,,,,,,,,,,
,Stacked,,,,,,,,,,,
,Floating (Range),,,,,,,,,,,
,Histogram (Step),,,,,,,,,,,
Scatter plot charts,Simple,,,,,,,,,,,
,Bubble,,,,,,,,,,,
Circular charts,Radar,,,,,,,,,,,
,Polar,,,,,,,,,,,
Accumulation charts,Pyramid,,,,,,,,,,,
,Funnel,,,,,,,,,,,
Tree/Heat map charts,Tree map,,,,,,,,,,,
,Heat map,,,,,,,,,,,
Finance charts,OHLC,,,,,,,,,,,
,Candlestick,,,,,,,,,,,
,Kagi,,,,,,,,,,,
Gauge charts,,,,,,,,,,,,
Cartogram charts,,,,,,,,,,,,
Gantt charts,,,,,,,,,,,,
Dependency graphs,,,,,,,,,,,,
Nomograms,Smith chart,,,,,,,,,,,
Organizational charts,,,,,,,,,,,,
Flow charts,,,,,,,,,,,,
