Product,Local books,Book file search,Epub downloading,Browser downloading,OPDS catalog,Books tag,Books sort,Books manage metadata
Aldiko Book Reader,,,,,,,,
AlReader,,,,,,,,
Bookari,,,,,,,,
Cool Reader,,,,,,,,
EBookDroid,,,,,,,,
Ebook Reader,,,,,,,,
eReader Prestigio,,,,,,,,
FBReader,,,,,,,,
iReader,,,,,,,,
Kindle,,,,,,,,
Kobo Books,,,,,,,,
KOReader,,,,,,,,
Lektz eBook Reader,,,,,,,,
Librera,,,,,,,,
Moon+ reader,,,,,,,,
MReader,,,,,,,,
PocketBook,,,,,,,,
Socio eReader,,,,,,,,
Product,Local books,Book file search,Epub downloading,Browser downloading,OPDS catalog,Books tag,Books sort,Books manage metadata
