Product,Paging touch screen,Paging volume key,Backward-forward,Contents table,Bookmarks,Resume,Go to,Search full text,Sync to cloud,Autoscroll by pixel,Autoscroll by line,Autoscroll by page,Scroll speed control,Rolling blind mode,Continuous scrolling
Aldiko Book Reader[14],,,,,,,,,,,,,,,
AlReader[1],,,,,,,,,,,,,,,
Bookari[15],,,,,,,,,,,,,,,
Cool Reader,,,,,,,,,,,,,,,
EBookDroid,,,,,,,,,,,,,,,
Ebook Reader,,,,,,,,,,,,,,,
eReader Prestigio,,,,,,,,,,,,,,,
FBReader[16],,,,,,,,,,,,,,,
Google Play Books,,,,,,,,,,,,,,,
iReader,,,,,,,,,,,,,,,
Kindle,,,,,,,,,,,,,,,
Kobo Books,,,,,,,,,,,,,,,
KOReader,,,,,,,,,,,,,,,
Lektz eBook Reader[19],,,,,,,,,,,,,,,
Librera,,,,,,,,,,,,,,,
Moon+ reader[20],,,,,,,,,,,,,,,
MReader,,,,,,,,,,,,,,,
PocketBook,,,,,,,,,,,,,,,
Snapplify[21],,,,,,,,,,,,,,,
Socio eReader[22],,,,,,,,,,,,,,,
Product,Paging touch screen,Paging volume key,Backward-forward,Contents table,Bookmarks,Resume,Go to,Search full text,Sync to cloud,Autoscroll by pixel,Autoscroll by line,Autoscroll by page,Scroll speed control,Rolling blind mode,Continuous scrolling
