Product,Highlight,Annotate,Metadata edit,Dictionary online,Dictionary offline,Wikipedia lookup,Translate,Share,Gesture command,TTS Support (read aloud),Support DRM
Aldiko Book Reader,,,,,,,,,,,
AlReader,,,,,,,,,,,
Bookari,,,,,,,,,,,
Cool Reader,,,,,,,,,,,
EBookDroid,,,,,,,,,,,
Ebook Reader,,,,,,,,,,,
eReader Prestigio,,,,,,,,,,,
FBReader,,,,,,,,,,Plugin[23],
iReader,,,,,,,,,,,
Kindle,,,,,,,,,,,
Kobo Books,,,,,,,,,,,
KOReader,,,,,,,,,,,
Lektz eBook Reader,,,,,,,,,,,
Librera,,,,,,,,,,,
Moon+ reader,,,,,,,,,,,
MReader,,,,,,,,,,,
PocketBook,,,,,,,,,,,
Snapplify,,,,,,,,,,,
Socio eReader,,,,,,,,,,,
Product,Highlight,Annotate,Metadata edit,Dictionary online,Dictionary offline,Wikipedia lookup,Translate,Share,Gesture command,TTS Support (read aloud),Support DRM
