Agency,Country,Budget (in millions of US $),Year,Ref(s)
China National Space Administration,,11000,2018,[218]
Indian Space Research Organisation,,1760,2020,[219]
Japanese Aerospace Exploration Agency,,1710,2017,[220]
Korean Aerospace Research Institute,,583,2016,[221]
Iranian Space Agency and Iranian Space Research Center,,393,2018,[222]
National Institute of Aeronautics and Space,,55,2019,[223][224]
Space and Upper Atmosphere Research Commission,,43,2019,[225]
Philippine Space Agency,,38,2019,[226]
Israel Space Agency,,14.5,2019,[227]
Turkish Space Agency,,4.3,2019,[228]
