Launch system,,Country of origin,Class and type,Payload capacity,,,Maiden flight,Manufacturer,Status,Ref
,LEO (Orbit),,,GTO,Other,,,,,
Al-Abid,,,Small lift expendable launch vehicle,100kg to 300kg (200km to 500km,,,1989,"Space Research Center, Baghdad",Abandoned,[100]
Augmented Satellite Launch Vehicle,,,Small lift expendable launch vehicle,150kg (400km),,,1987,ISRO,Retired,[101]
Epsilon,,,Medium lift expendable launch vehicle,1500kg (250kmx500km) 700kg (500km),,590kg to 500km (SSO),2013,JAXA,In service,[102]
Feng Bao 1,,,Medium lift expendable launch vehicle,2500kg,,,1972,Shanghai Bureau No.2,Retired,[103]
Geosynchronous Satellite Launch Vehicle,GSLV Mk I,,Medium lift expendable launch vehicle,5000kg,2150kg,,2001,ISRO,Retired,[104]
,GSLV Mk II,,,5000kg,2700kg,,2010,ISRO,In service,
Geosynchronous Satellite Launch Vehicle Mark III,,,Medium lift expendable launch vehicle,10000kg,4000kg,,2014 (Suborbital) 2017 (Orbital),ISRO,In service,[105]
GX,,,Medium lift expendable launch vehicle,3600kg,,1814kg to 800km SSO,,JAXA/ULA/IHI,Cancelled,[106]
H-I,,,Medium lift expendable launch vehicle,3200kg,1100kg,,1986,Mitsubishi Heavy Industries/McDonnell Douglas,Retired,[107]
H-II,H-II,,Medium lift expendable launch vehicle,10060kg,3930kg,,1994,Mitsubishi Heavy Industries,Retired,[108]
,H-IIA,,,10000kg to 15000kg,4100kg to 6000kg,,2001,Mitsubishi Heavy Industries/ATK,In service,[109]
,H-IIB,,,16500kg,8000kg,,2009,Mitsubishi Heavy Industries,In service,[110]
H3,,,Medium lift expendable launch vehicle,,>8000kg,>4000kg to SSO (Minimum configuration),2020 (Planned),Mitsubishi Heavy Industries,Under development,[111]
J-I,,,Experimental expendable launch vehicle,-,-,1054kg along 1300km downrange.,1996,NASDA/ISAS,Retired,[112]
Jielong-1,,,Small lift expendable launch vehicle,,,150kg to 700km (SSO),2019,CALT,In service,[113]
Kaituozhe,Kaituozhe-1,,Small lift expendable launch vehicle,100kg,Not applicable,,2002,CASC,Retired,[114]
,Kaituozhe-2,,Small lift expendable launch vehicle,800kg,,,2017,,In service,[115]
,Kaituozhe-2A,,Medium lift expendable launch vehicle,2000km,,,Unconfirmed,,Unknown,
Kuaizhou,Kuaizhou 1,,Small lift expendable launch vehicle,,,430kg to 500km (SSO),2013,CASC,In service,[116][117]
,Kuaizhou-1A,,Small lift expendable launch vehicle,300kg,,250kg to 500km (SSO) 200kg to 700km (SSO),2017,,In service,
,Kuaizhou-11,,Small lift expendable launch vehicle,1500kg,,1000kg to 700km (SSO),2019-20 (Planned),,Under development,[118]
,Kuaizhou-21,,Heavy lift expendable launch vehicle,"20,000kg",,,2025 (Projected),,Under development,[116][119]
,Kuaizhou-31,,Super heavy lift expendable launch vehicle,"70,000kg",,,TBD,,Under development,
Lambda (rocket family),,,Small lift expendable launch vehicle,26kg,,,1970,ISAS/Nissan,Retired,[120]
Long 1 March rocket family,Long March 1,,Small lift expendable launch vehicle,300kg,,,1970,MAI/CASC/CAST,Retired,[121]
,Long March 1D,,Small lift expendable launch vehicle,930kg,,,1995,CALT,Retired,[122]
Long March 2,Long March 2A,,Medium lift expendable launch vehicle,2000kg,,,1974,CALT,Retired,[123]
,Long March 2C,,Medium lift expendable launch vehicle,3850kg,1250kg,1900kg to SSO,1982,,In service,
,Long March 2D,,Medium lift expendable launch vehicle,3500kg,,1300kg to SSO,1992,,In service,
,Long March 2E,,Medium lift expendable launch vehicle,9500kg,3500kg,,1990,,In service,
,Long March 2F,,Medium lift expendable launch vehicle,8400kg,,,1990,,In service,
Long March 3,Long 3 March,,Medium lift expendable launch vehicle,5000kg,1500kg,,1984,CALT,Retired,[124]
,Long March 3A,,Medium lift expendable launch vehicle,8500kg,2600kg,1600kg to HCO,1993,,In service,
,"Long March 3B, 3B/E",,Medium lift expendable launch vehicle,11500kg,5100kg,3300kg to HCO 2000kg to GEO,1996,,In service,
,"Long March 3C, 3C/E",,Medium lift expendable launch vehicle,,3900kg,2400kg to HCO,2008,,In service,
Long March 4,Long March 4A,,Medium lift expendable launch vehicle,4000kg,,1500kg to Sun-synchronous orbit,1988,CALT,Retired,[125]
,Long March 4B,,Medium lift expendable launch vehicle,4200kg,1500kg,2800kg to SSO,1999,,In service,
,Long March 4C,,Medium lift expendable launch vehicle,4200kg,1500kg,2800kg to SSO,2006,,In service,
Long March 5,,,Heavy lift expendable launch vehicle,25000kg (200km x 400km),14000kg,8200kg to TLI,2016,CALT,In service,[126]
Long March 6,,,Small lift expendable launch vehicle,,,1080kg to 700km (SSO),2015,CALT,In service,[127]
