BitTorrent client,GUI,Remote,CLI,Other,Programming language,Based on,IPv6,?TP
BitComet,,,,,C++,-,,
BitLord,,,,,"Python, C++",libtorrent (Rasterbar),,
"BitTorrent 5, Mainline",,,,,Python,-,,
BitTorrent 6,,,,,C++,?Torrent,,
Deluge,,,,Daemon,"Python, C++",libtorrent (Rasterbar),,
FlashGet,,,,,,,,
Free Download Manager,,,,,C++,libtorrent (Rasterbar),,
Frostwire,,,,,Java,libtorrent (Rasterbar),,
KGet,,,,,C++,-,,
KTorrent,,,,,C++,-,,
LimeWire,,,,,Java,libtorrent (Rasterbar),,
Miro,,,,,C++,libtorrent (Rasterbar),,
MLDonkey,,Third Party[22],,Telnet,OCaml,-,,
?Torrent,,,,RESTful Web API[24],C++[25],-,,
Opera 12,,,,,C++,-,,
qBittorrent,,,,,"Python, C++",libtorrent (Rasterbar),,
rTorrent,,Third Party,,SCGI,C++,[libTorrent] (Rakshasa),,
Shareaza,,,,,C++,-,,
Tixati,,,,Web interface,C++,-,,
Tonido,,,,,C++,libtorrent (Rasterbar),,
Transmission,,,,"Daemon, JSON-RPC over HTTP remote control API","C, Objective-C",libtransmission,,
Tribler,,,,,"Python, C++",libtorrent (Rasterbar),,
Vuze (formerly Azureus),,,,"Telnet, XML over HTTP remote control API","Java, SWT",-,,
Xunlei,,,,remote control over internet[33],C++,-,,
BitTorrent client,GUI,Web,CLI,Other,Programming language,Based on,IPv6,?TP
