Site,Specialization,Is a tracker,Directory,Public,RSS,One-click download,Sortable,Comments,Multi-tracker index,Ignores DMCA,Tor friendly
1337x[3],None,,,,,,,,,,
apollo.rip[5],Music,,,,,,,,,,
Demonoid,None,,,,,,,,,,
etree,Live concerts,,,,,,,,,?,?
Torrent Project[6],DHT search engine,,,,,,,,,,
ETTV[10],None,,,,,,,,,,
EZTV[11],TV Series,,,,,,,,,,
HDBits[12],Movies,,,,,,,,,,
IPTorrents[13],None,,,,,,,,,,
Kickass Torrent [14],None,,,,,,,,,,
Limetorrents[15],None,,,,,,,,,,
MkvCage [16],Movies,,,,,,,,,,
NyaaV2,"CJK content, especially otaku and anime",,,,,,,,,,
The Pirate Bay,None,,,,,,,,,,
Rarbg,None,,,,,,,,,,
redacted.ch[17],Music,,,,,,,,,,
RevolutionTT[18],None,,,,,,,,,,
RutrackerruRuTracker.org[19],None,,,,,,,,,,
Torlock[20],None,,,,,,,,,,?
Torrent downloads[22],None,,,,,,,,,,
torrentleech.org[23],None,,,,,,,,,,
Torrentseeker[24],Search,,,,,,,,,,
Torrents.me[25],Search,,,,,,,,,,
Worldwidetorrents.me[26],None,,,,,,,,,,
YourBittorrent,None,,,,,,,,,,
YTS[28],Movies,,,,,,,,,,
Zooqle[29],Search,,,,,,,,,,
Site,Specialization,Is a tracker,Directory,Public,RSS,One-click download,Sortable,Comments,Multi-tracker index,Ignores DMCA,Tor friendly
