Client name,Platform,License,WebDAV ACL editor,Discovery of other user’s collections,ICalendar events,ICalendar tasks,ICalendar journals,ICalendar VAVAILABILITY (RFC 7953),CalDAV Scheduling,CardDAV,vCard Synchronization,User interface,Online store,.well-known URLs,FBURL,DNS SRV,handles home-sets
AgenDAV[1],Cross-platform JavaScript Web browser,,,,,,,,,,out of scope,AgenDAV's fullcalendar.io,,,,,
Cadaver[2],Command-line,,,,,,,,,,,,,,,,
aCal[3],Android,,,,,,,,,,,aCal,aCal,,,,
AndroidCaldavSyncAdapater[4],Android,,,,,,,,,,out of scope,Android,Google Play,,,,
CalDavZAP[5],Cross-platform JavaScript Web browser,AGPL,,,,,,,,,out of scope,CalDavZAP,,,,,
CardDavMATE[6],Cross-platform JavaScript Web browser,AGPL,,,out of scope,out of scope,out of scope,out of scope,out of scope,,,CardDavMATE,,,,,
InfCloud (CalDavZAP+CardDavMATE)[7],Cross-platform JavaScript Web browser,AGPL,,,,,,,,,,InfCloud,,,,,
Chandler Desktop[8],Cross-platform Python,Apache,,,,,,,,,,,,,,,
DAVx?[9],Android,,,,,,out of scope,out of scope,,,,"Android, OpenTasks","Google Play, OpenTasks",,out of scope,,
Tasks.org[10],Android,,,,,,,,,,,Android,Google Play,,,,
jqCalDAV[11],Cross-platform JavaScript Web browser,MIT,,,,,,,,,,,,,,,
KCardDAV[12] (discontinued),Cross-platform Kontact add-on,,,,,,,,,,,,,,,,
"KOrganizer, KAddressBook, Kontact",Unix-KDE,,,,,,,,,,,KOrganizer,KOrganizer,,,,
Lightning[13],Cross-platform Thunderbird Add-on,"MPL, GPL, LGPL",,,,,,,,,Out of scope,Lightning,Lightning,,,,
CardBook[14],Cross-platform Thunderbird Add-on,MPL,,,Out of scope,Out of scope,Out of scope,Out of scope,Out of scope,,,CardBook,Mozilla Add-ons (ATN),,Out of scope,,partial
MineTime[15],Cross-platform,,,,,,,,,,,,MineTime,minetime.ai,,,
Mulberry[16],Cross-platform,Apache,,,,,,,,,,,,,,,
Outlook CalDav Synchronizer[17],Windows,AGPL,,,,,,,,,,Outlook,,,,,
pyCardDAV[18],Cross-platform Python,MIT,,,,,,,,,,,,,,,
The Bat![19],Windows,,,,,,,,,,,The Bat!,The Bat!'s address book,,,,
Inverse SOGo Connector-Integrator[20],Cross-platform Thunderbird Add-on,"MPL, GPL, LGPL",,,,,,,,,,Mozilla,Mozilla Add-ons,,,,
Evolution,Cross-platform,,,,,,,,,,,Evolution,Evolution,,,,
ReminderFox[21],Cross-platform Firefox,MPL 1.1,,,,,,,,,,ReminderFox,,,,,
