Server name,License,Programming language,RFC 2616 HTTP/1.1,RFC 2617 HTTP auth.authentication,RFC 2518 WebDAV,RFC 3253 WebDAV vers.versioning,RFC 3744 WebDAV ACL,RFC 4324 iCal CAPCalendar Access Protocol,RFC 4331 WebDAV quota,RFC 4709 WebDAV mount,RFC 4791 CalDAV,RFC 4918 WebDAV ext.extensions,RFC 5397 WebDAV current principal,RFC 5545 rev.revised iCal (Availability Check),RFC 5546 iCal iTIPtransport-independent interoperability protocol(Group Scheduling),RFC 5689 WebDAV ext.extended MKCOL,RFC 5995 WebDAV POST add member,RFC 6352 CardDAV vCard,RFC 6578 WebDAV syncsynchronise,RFC 6638 CalDAV sched.scheduling(Auto-Schedule),RFC 7529 iCal RSCALEnon-Gregorian calendar,RFC 7540 HTTP/2,RFC 7809 CalDAV time zones by ref.reference,RFC 7953 iCal VAVAILABILITYpersonal availability,Free-busy URL
Baïkal[22][23],,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
Bedework[24],Apache,Java,,,,,,,,,,,,,,,,,,,,,,,
Calendar and Contacts Server[25],Apache,Python,,,,,,,,,,,,,,,,,,,,,,,
Calypso[26],,Python,,,,,,,,,,,,,,,,,,,,,,,
Cyrus IMAP[27],BSD,C,,,,,,,,,,,,,,,,,,,,,,,
DAViCal[28][29],,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
DavMail[30],,Java,,,,,,,,,,,,,,,,,,,,,,,
Fennel[31],GNU GPLv3,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Group-Office[32],"AGPL, proprietary",PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
Horde Groupware,GNU LGPL,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
Nextcloud[33],AGPL v3,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
Open Xchange,","Java, JavaScript",,,,,,,,,,,,,,,,,,,,,,,
ownCloud[34],AGPL v3,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
Radicale[35],,Python,,,,,,,,,,,,,,,,,,,,,,,
SabreDAV[36],BSD,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
SOGo[37],,Objective-C,,,,,,,,,,,,,,,,,,,,,,,
Xandikos[47],,Python,,,,,,,,,,,,,,,,,,,,,,,
Zarafa,"AGPL, proprietary",PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,Read only,,,,group=NotePHP_HTTP,,,
Zentyal[48],,Perl,,,,,,,,,,,,,,,,,,,,,,,
Meishi[49],,Ruby,,,,,,,,,,,,,,,,,,,,,,,
Zimbra,,Java,,,,,,,,,,,,,,,,,,,,,,,
