Application and developer,Latest version/release + date,Schematic?,Simulation?,PCB editing?,Runs on POSIX style systems?,Runs on Windows?,Other platforms?,Open source?,User Interface Language(s),Imports,Exports,Scripting support
Active-HDL by Aldec,10.3 2016316p=1br=1df=yes,,,,,,,No,en,"EDIF, Viewlogic, more","PDF, HTML, Verilog, VHDL, EDIF, Zuken, more",
Proteus by Labcenter Electronics Ltd,8.11 2020091p=1br=1df=yes,,,,,,,No,en,,,
Advanced Design System by Keysight EEsof EDA,2019 20181115p=1br=1df=yes[1],,,,,,"SuSE, RHEL[2]",No,en,"HSPICE, SPICE, Spectre netlists; Gerber, Excellon, ODB++, artwork; more","HSPICE, SPICE, Spectre netlists; Gerber, Excellon, ODB++, artwork; more","Python, Application Extension Language (proprietary; "AEL")"
Altium Designer (former Protel) by Altium,20.0.11 20200128p=1br=1df=yes,,,,,,Wine,No,Multilingual,"OrCAD, Allegro, PADS Logic, PADS PCB, Expedition, DxDesigner, EAGLE, P-CAD, Gerber, STEP, Solidworks, IDF, more","3D PDF, Gerber, Gerber X2, Excellon, ODB++, DXF, STEP, OrCAD, EAGLE, more","Delphi, JS, VB"
"CADSTAR, Board Designer, and Visula by Zuken",2019.0.0.1 20191118p=1br=1df=yes,,",,,,,No,en,"PADS, OrCAD, P-CAD, Protel, DXF, IDF","PDF, Gerber, Excellon, ODB++, DXF, IDF more","COM, macros"
CircuitLogix by Logic Design Inc.,Release 10 201901p=1br=1df=yes,,,,,,,No,en,"SPICE, Gerber, DXF","SPICE, PDF, Gerber, DXF",
CircuitMaker by Altium,1.3.0.119 201608p=1br=1df=yes,,,,,,Wine,No,en,"AD09, AD10, AD12, PADS, P-CAD, OrCAD, Protel, EAGLE, DXF","Gerber, Excellon, DXF, STEP, more",
CR-5000 by Zuken,13 20110517p=1br=1df=yes,,",,,,"Unix, Linux",No,"en, jp","EDIF, DXF, IGES, IDF, BSDL, STEP, ACIS, Gerber, Excellon, more","PDF, Gerber, Excellon, ODB++ (must request[3]), DXF, STEP, IPC D-356, IPC-2581, EPS, ACIS",
CR-8000 by Zuken,2020 20200630p=1br=1df=yes,,",,,,"Unix, Linux",No,"en, jp","EDIF, DXF, IGES, IDF, BSDL, STEP, ACIS, Gerber, Excellon, more","PDF, Gerber, Excellon, ODB++ (must request[3]), DXF, STEP, IPC D-356, IPC-2581, EPS, ACIS",
DesignSpark PCB by RS Components,9.0.3 20200708p=1br=1df=yes,,",,,,,No,en,"EAGLE, DXF, EDIF","Gerber, Excellon, ODB++, DXF, IDF, PDF, LPKF",
DesignSpark PCB Pro by RS Components,9.0.3 20200708p=1br=1df=yes,,",,,,,No,en,"EAGLE, OrCAD, Easy-PC, NI Ultiboard, BoardMaker, DXF, PNL, EDIF","Gerber, Excellon, ODB++, DXF, IDF, PDF, LPKF",
DipTrace by Novarm,4.0.0.5 20200730p=1br=1df=yes,,External (Spice netlist export),,,,"Mac, Wine",No,21 languages,"EAGLE, Altium, P-CAD, PADS, OrCAD, Gerber, N/C Drill, DXF, BSDL Pinlist, Netlists","Gerber, Gerber X2, Excellon, ODB++, DXF, P-CAD, PADS, OrCAD, IPC-D-356, STEP, VRML, Pick and Place, CSV, BOM",
EAGLE by Autodesk/CadSoft Computer,9.6.2 2020527br=1p=1df=yes,,Ngspice,,,,"Linux, Mac",No,"de, en, zh, hu, ru","EAGLE (XML), ACCEL (P-CAD, Altium, Protel), ULTIBOARD, Netlists, BMP, Custom","EAGLE (XML), Protel, Netlists, Images, Gerber, Gerber X2, Excellon, Sieb & Meyer, HPGL, PostScript/EPS, PDF, Images, HyperLynx, IDF, Custom",Proprietary User Language Programming (ULP)
