Country,Motorways,Expressways,Primary roads,,Secondary roads,Regional destinations,Local destinations,Tourist signs,Temporary Detour
,,,outside urban area,,,,,,
Austria,Salzburg,Wien,Villach,,n/a,Salzkammergut[2],,,Umleitung
Bulgaria,????? Yambol,???? Ruse,????????? Pavlikeni,,???? Byala,,?????? Centre,???? Etar,????? Varna
Croatia,Zagreb,Bjelovar,Vukovar,,Mokošica,,Zra?na luka,Plitvi?ka jezera,Obilazak
Czechia,BRNO,PRAHA,VYŠKOV,,n/a,SLOVANY,Letišt?,Hrad Bouzov,PRAHA
Denmark,Aarhus,n/a,Skanderborg,,n/a,,Stadion,Himmelbjerget,Nakskov
Finland,HELSINKI HELSINGFORS,LAPPEENRANTA,PORVOO BORGÅ,,n/a,KYMINLINNA,Kirjasto,Hiidenkivi,TURKU
France,PARIS,MARSEILLE,BEAUVAIS[3],TOULON,LA CHAPPELLE,n/a,Gare S.N.C.F.,PARC NATUREL,Déviation
Germany,Hamburg,Freiburg,Lübeck,,n/a,,Bahnhof,Burg Eltz,Umleitung
Greece,??????????? Thessaloniki,????? Patra,????? ??????,,n/a,,??????,???????? Akropolis,
Ireland,Áth Cliath DUBLIN,n/a,Tulach Mhór TULLAMORE[4],,Seantrabh SANTRY[5],n/a,Guaire GOREY[5],HEYWOOD,
Italy,VENEZIA,UDINE,BERGOSOLE,,n/a,,aeroporto,Colfosco,deviazione
Liechtenstein,(CH) St. Gallen,(CH) Chur,Schaan,,Vaduz,n/a,Bahnhof,Burg,Umleitung
Lithuania,KLAIP?DA,KAUNAS,VILNIUS,,n/a,,CENTRAS,,Apylanka
Netherlands,Amsterdam,Den Haag,Woerden,,n/a,,Centrum,,OMLEIDING Volg A[6]
Norway,Nannestad,Lillestrøm,Trondheim,,n/a,,Sykehus,Kvitsand,
Poland,Wroc?aw,Pozna?,Opole,,n/a,,Stacja,Kraków,Objazd
Portugal,Lisboa,n/a,Portalegre,,Póvoa de Varzim,ALGARVE[7],centro,castelo,Desvio
Romania,Bucure?ti,n/a,Pite?ti,,n/a,n/a,Centru,Castelul Bran,Ocolire
Slovakia,Košice,Nitra,Bratislava,,,,Centrum,Hrad,obchádzka
Sweden,GÖTEBORG,STOCKHOLM,FALUN,,n/a,NORRMALM,Vårdcentral,Långe Erik,
Switzerland,Basel,Chiasso,Moudon,,Ftan,n/a,Gare CFF,Castello,Umleitung Déviation Deviazione
Spain,Villalba[8],Córdoba[9],Oviedo[10],PINTO[11],BADAJOZ,n/a,centro,Navacerrada,DESVÍO
UK,Nottingham M1,n/a,Holyhead A55,,Aylesbury,The NORTH[12],Village Hall,Thorpe Park,Diversion
Åland,n/a,n/a,LÅNGNÄS,,n/a,KLINTEN,Centralsjukhuset,Bomarsund,KATTBY
