| Client,Windows,macOS,Linux,BSD,Unix,AmigaOS,ChromeOS
AbsoluteTelnet,,,,,,,
ALFTP,,,,,,,
Beyond Compare,,,,,,,
Classic FTP,,,,,,,
Codeanywhere (webbased),,,,,,,
Commander One,,,,,,,
CoreFTP,,,,,,,
CrossFTP,,,,,,,
cURL (CL),,,,,,,
CuteFTP,,,,,,,
Cyberduck,,,,,,,
Directory Opus,,,,,,,
ExpanDrive,,,,,,,
FAR Manager,,,,,,,
Fetch,,,,,,,
FileZilla,,,,,,,
FireFTP,,,,,,,
FlashFXP,,,,,,,
Fling FTP,,,,,,,
ForkLift,,,,,,,
FTP Client,,,,,,,
FTP Commander,,,,,,,
FTP Explorer,,,,,,,
FTP Voyager,,,,,,,
Fugu,,,,,,,
gFTP,,,,,,,
Interarchy,,,,,,,
LeechFTP,,,,,,,
lftp (CL),,,,,,,
Macfusion,,,,,,,
Mosaic,,,,,,,
NcFTP (CL),,,,,,,
net2ftp (web-based),,,,,,,
pbFtpClient,,,,,,,
PSFTP (PuTTY) (CL),,,,,,,
Rclone,,,,,,,
Secure FTP,,,,,,,
SmartFTP,,,,,,,
Steed,,,,,,,
Sysax FTP Automation,,,,,,,
Total Commander,,,,,,,
tnftp (CL),,,,,,,
Transmit,,,,,,,
WebDrive,,,,,,,
WinSCP,,,,,,,
WISE-FTP,,,,,,,
WS_FTP,,,,,,,
Yummy FTP,,,,,,,
Client,Windows,Mac OS X,Linux,BSD,Unix,AmigaOS,ChromeOS
