Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
AbsoluteTelnet,Celestial Software,1996,9.49 20120702,Proprietary,
Beyond Compare,Scooter Software,1996,4.3.6 20201002,Proprietary,
Commander One,Eltima Software,2015,1.1 20150929,Proprietary,
CrossFTP Pro,CrossFTP Software,2006,1.98.7 20200523,Proprietary,
CuteFTP,Alex Kunadze/Globalscape,1994,9.3.0 (Windows) 20180711 / 3.1.3 (Mac) 201452,Proprietary,
Directory Opus,GPSoftware,1990,11.10 20141219,Proprietary,
FlashFXP,"OpenSight Software, LLC",1999,5.4.0.3970 20170401,Proprietary,
FTP Client,Vicomsoft,1997,5.0.1,Proprietary,
SmartFTP,SmartSoft Ltd,1998,6.0.2155.0 20150723,Proprietary,
Total Commander,Christian Ghisler,1993,9.51 20200325,Proprietary,
WebDrive,"South River Technologies, Inc.",1998,2017 20170616,Proprietary,
WS_FTP,"Ipswitch, Inc.",1996,12.7 20181127,Proprietary,
Yummy FTP,Yummy Software,2004,1.9.0 20180510,"Proprietary, Setapp",
