Editor,Version,Year,Creator,Software license
Amaya,11.4.4 (January 18),2012,"W3C, INRIA", W3C
Aptana Studio,3.6.0 (August 1),2014,Aptana,GPL
Arachnophilia,"5.5, build 2935 (March 9)",2018,Paul Lutus [1],LGPL
Atom,1.46.0 (May 5),2020,GitHub,MIT License
Bluefish,2.2.11 (January 24),2020,Bluefish, GPL
BlueGriffon,3.1 (October 14),2019,Disruptive Innovations, MPL 1.1/GPL 2.0/LGPL 2.1
Brackets,1.13 (June 18),2018,Adobe,MIT License
Claris Homepage,3.0,1998,Claris,
Coda,2,2012,"Panic, Inc.",
Codelobster,5.10.1 (August 22),2016,Codelobster Software,
CoffeeCup HTML Editor,15.1 (July 10),2015,CoffeeCup Software,
CudaText,1.57.0 (June 25),2018,"UVViewSoft (alexey_t, kvichans, matthias030)",MPL 2.0
Contribute,CS6.5 (8)(August 23),2012,Adobe Systems (formerly Macromedia),
Dreamweaver,CC 2020 (20.1) (February),2020,Adobe Systems (formerly Macromedia),
EZGenerator,4.1 (December),2012,Image-Line,
Freeway,7.1.3 (May 5),2016,Softpress,
GoLive,9.0 (June 1),2007,Adobe Systems (formerly GoLive Systems),
Google Web Designer,(July),2018,"Google, Inc.",
HTML-Kit,292,,Chami.com,
KompoZer,"0.7.10/0.8b3 (August 30, 2007/ March 1, 2010)",2010,Kaze,MPL 1.1/GPL 2.0/LGPL 2.1
LibreOffice,6.1.2 (September 27),2018,The Document Foundation,Mozilla Public License/Apache License 2.0/others
Maqetta,Preview 5 (March 28),2013,IBM, BSD or AFL
Microsoft Expression Web,4.0.1460.0 (December 20),2012,Microsoft,
Microsoft Office FrontPage,11.0.8174 (October 21),2003,Microsoft,
Microsoft FrontPage Express,2.0,1997,Microsoft,
Web Architect,6.9.1 (July 25),2012,mirabyte,
Microsoft SharePoint Designer,2007 (December 4),2006,Microsoft,
Microsoft Visual Studio Code,1.28.1 (October 11),2018,Microsoft,MIT License
Microsoft Visual Web Developer,,2008,Microsoft,
Mobirise,4.8,2018,Mobirise.com,
Mozilla Composer,1.7.13 (April 21),2006,Mozilla Foundation,MPL 1.1/GPL 2.0/LGPL 2.1
Nvu,1.0 (June 28),2005,Linspire / Daniel Glazman,MPL 1.1/GPL 2.0/LGPL 2.1
openElement,1.44 (January 21),2014,openElement,Apache License 2.0
OpenOffice.org,4.1.5 (October 19),2017,Apache Foundation,Mozilla Public License/Apache License 2.0/others
oXygenXML Editor[2],17.1 (October),2015,Syncro Soft,
Quanta Plus,3.5.9 (February 20),2008,The Quanta Team,GPL
RocketCake,1.4,2017,Ambiera,
SeaMonkey Composer,2.53.1 (February 28),2020,SeaMonkey Council,MPL
TextMate,2.0 Preview (August 12),2012,Macromates, GPL
TOWeb,5.07 (July 28),2013,Lauyan Software,
WebStorm IDE,7.0 (September 26),2013,JetBrains,
Editor,Version,Year,Creator,Software license
