Editor,WYSIWYG,FTP Upload,WebDAV Upload,Server-side scripting,Shared editing,Spell checking,Templates,Templates Update Sync,Page Preview,Form Handler
Amaya,,,,,,,,,,
Aptana,,,,,,,,,,
Arachnophilia,,,,,,,,,,
Bluefish,,,,,,,,,,
BlueGriffon,,,,,,,,,,
Brackets,"Live Preview" in-browser,,,,,,,,,
Claris Homepage,,,,,,,,,,
Codelobster,,,,,,,,,,
CoffeeCup HTML Editor,,,,,,,,,,
Dreamweaver,,,,,,,,,,
EZGenerator,,,,,,,,,,
Freeway,,,,,,,,,,
GoLive,,,,,,,,,,
HTML-Kit,,,,,,,,,,
KompoZer,,,,,,,,,,
LibreOffice,,,,,,,,,,
Maqetta,,?,?,?,?,?,?,?,,?
Microsoft Expression Web,,,,,,,,,,
Microsoft FrontPage,,,,,,,,,,
Microsoft SharePoint Designer,,,,,,,,,,
Microsoft Visual Web Developer,,,,,,,,,,
Mobirise,,,,,,,,,,
Web Architect,,,,,,,,,,
Nvu,,,,,,,,,,
openElement,,,,,,,,,,
OpenOffice.org,,,,,,,,,,
oXygenXML Editor,,,,,,,,,,"maybe, depends on type."
Quanta Plus,,,,,,,,,,
RocketCake,,,,,,,,,,
SeaMonkey Composer,,,,,,,,,,
TOWeb,,,,,,,,,,
Editor,WYSIWYG,FTP Upload,WebDAV Upload,Server-side scripting,Shared editing,Spell checking,Templates,Templates Update Sync,Page Preview,Form Handler
