Flag,Country,IOC,FIFA,ISO
British Honduras,British Honduras,HBR 1972,BHO,
Burma1974,Burma,BIR 1988,BUR 1989,BUR 1989
Ceylon,Ceylon,CEY 1972,CEY 1972,
Dahomey,Dahomey,DAH 1972,DAH 1975,DHY 1977
CSK,Czechoslovakia,TCH 1992,TCH 1993,CSK 1993
DDR,East Germany,GDR 1988,DDR 1989,DDR 1989
Cambodia1970,Khmer Republic,KHM 1976,? 1975,
Malaya,Malaya,MAL 1960,? 1963,
ANT,Netherlands Antilles,AHO 2011,ANT 2011,ANT 2010
North Borneo,North Borneo,NBO 1956,NBO 1963,
North Yemen,North Yemen,YAR 1988,NYE 1990,YEM 1990
NRH,Northern Rhodesia,NRH 1964,NRH 1964,
Rhodesia,Rhodesia,RHO 1972,RHO 1980,RHO 1980
SCG,Serbia and Montenegro,SCG 2006,SCG 2006,SCG 2006
South Yemen,South Yemen,YMD 1988,SYE 1990,YMD 1990
SUN,Soviet Union,URS 1988,URS 1991,SUN 1992
Upper Volta,Upper Volta,VOL 1984,UPV 1984,HVO 1984
North Vietnam,"Viet-Nam, Democratic Republic of",,VNO 1975,VDR 1977
South Vietnam,"Viet Nam, Republic of",VNM 1976,VSO 1975,VNM 1977
GER,West Germany,FRG 1988,FRG 1989,DEU 1989
FR Yugoslavia,"Yugoslavia, Federal Republic of",YUG 2002,YUG 2003,YUG 2003
YUG,"Yugoslavia, Socialist Federal Republic of",YUG 1992,YUG 1992,YUG 1992
ZAI,Zaire,ZAI 1996,ZAI 1997,ZAR 1997
