Client,CTCP,DCC,IPv6,SSL,TLS,DANE,OCSP,CRL,SASL,OTR
Bersirc,,,,,,,,,,
BitchX,,,,,,,,,,
ChatZilla,,,,,,,,,script,
Colloquy,,,,,,,,,,
degesch,,,,,,,,,,
DMDirc,,,,,,,,,,
ERC,,,,,,,,,group=Notepatch,
HexChat,,,,,,,,,,group=Noteplugin
HydraIRC,,,,,,,,,,
IceChat,,,,,,,,,,
IRCCloud,,,,,,,,,,
ircII,,,,,,,,,,
IRCjr,,,,,,,,,,
Ircle,,,,,,,,,,
Irssi,,,,,,,,,,
jIRCii,,,,,,,,,,
KiwiIRC,,,,,,,,,,
Konversation,,,,,,,,,,
KVIrc,,,,,,,,,,
LimeChat,,,,,,,,,,
Linkinus,,,,,,,,,,
Mibbit,,group=NoteProtocol_support_Mibbit_Agroup=Notensuccess,,,,,,,,
mIRC,,,,,,,,,,
Nettalk,,,,,,,,,,
Opera,,,,,,,,,,
PIRCH,,,,,,,,,,
PJIRC,,,,,,,,,,
Quassel,,,,,,,,,,
qwebirc,,,,,,,,,,
rcirc,,,,,,,,,,
Scrollback,,,,,,,,,,
Smuxi,,,,,,,,,,
Snak,,,,,,,,,,
Visual IRC,,,,,,,,,,
WeeChat,,,,,,,,,,group=Noteplugin
Client,CTCP,DCC,IPv6,SSL,TLS,DANE,OCSP,CRL,SASL,OTR
