Client,386BSD,"BSD/OS (BSD/386, BSDI)","FreeBSD, NetBSD, OpenBSD",SunOS,ULTRIX,AIX,A/UX,HP-UX,IRIX,SCO OpenServer,Solaris,UnixWare,Linux,NeXTSTEP,OpenVMS,OSF/1,QNX,Tru64 UNIX
Bersirc,,,,,,,,,,,,,,,,,,
BitchX,,"BitchX is known to work on BSDI 2.0, 2.1, 3.1, 4.0; FreeBSD 2.x, 3.x, 4.0; NetBSD 3.x, 4.x; SunOS 4.1.4; Ultrix; AIX; HP-UX 9.x, 10.x; IRIX 5.x, 6.x; Solaris 5.x and later; Linux; OSF/1 (DEC Alpha); QNX name=Unix_operating_system_support_BitchX_Agroup=Note",,,,,,,,,,,,,,,,
ChatZilla,,,,,,,,,,,,,,,,,,
Colloquy,,,,,,,,,,,,,,,,,,
degesch,,,,,,,,,,,,,,,,,,
DMDIrc,,,,,,,,,,,,,,,,,,
ERC,,,,,,,,,,,,,,,,,,
HexChat,,,,,,,,,,,,,,,,,,
HydraIRC,,,,,,,,,,,,,,,,,,
IceChat,,,,,,,,,,,,,,,,,,
IRCCloud,,,,,,,,,,,,,,,,,,
ircII,,,,,,,,,,,,,,,,,,
IRCjr,,,,,,,,,,,,,,,,,,
Ircle,,,,,,,,,,,,,,,,,,
Irssi,,,,,,,,,,,,,,,,,,
KiwiIRC,,,,,,,,,,,,,,,,,,
Konversation,,,,,,,,,,,,,,,,,,
KVIrc,,,,,,,,,,,,,,,,,,
LeafChat,,,,,,,,,,,,,,,,,,
LimeChat,,,,,,,,,,,,,,,,,,
Linkinus,,,,,,,,,,,,,,,,,,
Mibbit,,,,,,,,,,,,,,,,,,
mIRC,,,,,,,,,,,,,,,,,,
Nettalk,,,,,,,,,,,,,,,,,,
Opera,,,,,,,,,,,,,,,,,,
PIRCH,,,,,,,,,,,,,,,,,,
PJIRC,,,,,,,,,,,,,,,,,,
Quassel,,,,,,,,,,,,,,,,,,
qwebirc,,,,,,,,,,,,,,,,,,
rcirc,,,,,,,,,,,,,,,,,,
Smuxi,,,,,,,,,,,,,,,,,,
Snak,,,,,,,,,,,,,,,,,,
Visual IRC,,,,,,,,,,,,,,,,,,
WeeChat,,,"WeeChat tested on FreeBSD 4.11, 5.4, 6.0; NetBSD 2.0, 2.1; OpenBSD 3.6, 3.7, 3.8; Solaris 5.10; QNX 6.3[39]name=Unix_operating_system_support_WeeChat_Agroup=Note",,,,,,In development[39]name=Unix_operating_system_support_WeeChat_Bgroup=Note,,,,,,,,,
Client,386BSD,"BSD/OS (BSD/386, BSDI)","FreeBSD, NetBSD, OpenBSD",SunOS,ULTRIX,AIX,A/UX,HP-UX,IRIX,SCO OpenServer,Solaris,UnixWare,Linux,NeXTSTEP,OpenVMS,OSF/1,QNX,Tru64 UNIX
