Client,CHAT,Whiteboard,SEND,RESUME,TSEND,SEND T,XMIT,Passive DCC,Server,RDCC,REVERSE,RSEND,Reverse / Firewall DCC,File servers (FSERVs),XDCC,VOICE
Bersirc,,,,,,,,,,,,,,,,
BitchX,,,,,,,,,,,,,,,,
ChatZilla,,,,,,,,group=Noteplanned,,,,,,,,
Colloquy,,,,,,,,,,,,,,,,
degesch,,,,,,,,,,,,,,,,
DMDirc,,,,,,,,,,,,,,,,
ERC,,,,,,,,,,,,,,,,
HexChat,,,,,,,,,,,,,,,,
HydraIRC,,,,,,,,,,,,,,,,
IceChat,,,,,,,,,,,,,,,,
IRCCloud,,,,,,,,,,,,,,,,
ircII,,,,,,,,,,,,,,,,
IRCjr,,,,,,,,,,,,,,,,
Ircle,,,,,,,,,,,,,,,,
Irssi,,,,,,,,,,,,,,,,
KiwiIRC,,,,,,,,,,,,,,,,
Konversation,,,,,,,,,,,,,,,,
KVIrc,,,,,,,,,,,,,,group=NoteSupported_Via_Scripting,group=NoteSupported_Via_Scripting,Incompatible with other IRC clients[53]name=voicegroup=Note
LimeChat,,,,,,,,,,,,,,,,
Linkinus,,,,,,,,,,,,,,,,
Mibbit,,,,,,,,,,,,,,,,
mIRC,,,,Supports the DCC Resume protocol[54]name=dccgroup=Note,,,,,,Supported via a script[55]name=scriptgroup=Note,,,,,group=Notescript,
Nettalk,,,,,,,,,,,,,,,,
Opera,,,,,,,,,,,,,,,,
PIRCH,,,,group=Notedcc,,,,,,,,,,,,
PJIRC,,,,,,,,,,,,,,,,
Quassel,,,,,,,,,,,,,,,,
qwebirc,,,,,,,,,,,,,,,,
rcirc,,,,,,,,,,,,,,,,
Smuxi,,,,,,,,,,,,,,,,
Snak,,,,,,,,,,,,,,,,
Visual IRC,,,,group=Notedcc,,,,,,,,,,,,group=Notevoice
WeeChat,,,,,,,,,,,,,,,,
