Library Name,License,Free,Supported Chart Types,,,,,,,,,,,,,Supported Bar Chart Types,,,,,Other Features,Interactivity,,Rendering Technologies,,,Databinding,HTML 5 Canvas
,,,Line,Timeline,Scatter,Area,Pie,Donut,Bullet,Radar,Funnel,Gantt,Network,Grouped,Mind Mapping,Stacked,Negative,Discrete,Horizontal,3D,Legends,Mouse Over,onClick,HTML5 Canvas,SVG,VML,AxisXY,WebGL rendering
amCharts,,Free with a link [1] or commercial[2],,,,,,,,,,,,,,,,,,,,,,,,,,
AnyChart,,Free for education and non-profit use.[4] Paid for commercial applications.[5],,,,,,,,,,,,,,,,,,,,,,,,,,
ApexCharts,MIT[6],,,,,,,,,,,,,,,,,,,,,,,,,,,
billboard.js,MIT[7],,,,,,,,,,,,,,,,,,,,,,,,,,,
C3.js,MIT[8],,,,,,,,,,,,,,,,,,,,,,,,,,,
CanvasJS,,"Free for Personal, Educational and Non-Commercial Uses",,,,,,,,,,,,,,,,,,,,,,,,,,
canvasXpress," GPLv3, name/email required for source link[11]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Chartist,WTFPL[14] or MIT[15],,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart.js,MIT[16],,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart Builder By Livegap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charts 4 PHP,,Free basic edition[18],,,,,,,,,,,,,,,,,,,,,,,,,,
Cytoscape.js,MIT[19],,,,,,,,,,,,,,,,,,,,,,,,,,,
"D3.js, formerly Protovis[20][21]",BSD-3[22],,,,,,,,,,,,,,,,,,,,,,,,,,,
dc,Apache 2.0[25],,,,,,,,,,,,,,,,,,,,,,,,,,,
DevExtreme,,Non-commercial or commercial[27],,,,,,,,,,,,,,,,,,,,,,,,,,
DHTMLX Charts,GPL[42],,,,,,,,,,,,,,,,,,,,,,,,,,,
dimple,MIT[44],,,,,,,,,,,,,,,,,,,,,,,,,,,
Dojo Charting,BSD or AFL[45],,,,,,,,,,,,,,,,,,,,,,,,,,,
Dygraphs,MIT[47],,,,,,,,,,,,,,,,,,,,,,,,,,,
Echarts,BSD-3[22],,,,,,,,,,,,,,,,,,,,,,,,,,,
Factmint Charts,,Non-commercial or commercial [48],,,,,,,,,,,,,,,,,,,,,,,,,,
Flot Charts,MIT[54],,,,,,,,,,,,,,,,,,,,,,,,,,,
Flotr2,MIT[56],,,,,,,,,,,,,,,,,,,,,,,,,,,
FusionCharts,,Free for personal and non-commercial uses.[58] Paid for commercial applications.[59],,,,,,,,,,,,,,,,,,,,,,,,,,
Google Charts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gRaphael,MIT[72],,,,,,,,,,,,,,,,,,,,,,,,,,,
"Highcharts, Highstock",,Free for personal and non-commercial uses.[74] Paid for commercial applications.[75],,,,,,,,,,,,,,,,,,,,,,,,,,
JenScript,BSD-3[77],,,,,,,,,,,,,,,,,,,,,,,,,,,
jqPlot,MIT or GPLv2[79],,,,,,,,,,,,,,,,,,,,,,,,,,,
jqxChart,,Free with a link [81] or commercial[82],,,,,,,,,,,,,,,,,,,,,,,,,,
JSCharting,,Free with branding [84],,,,,,,,,,,,,,,,,,,,,,,,,,
KoolChart,,Free with a link [85] or commercial[86],,,,,,,,,,,,,,,,,,,,,,,,,,
LightningChart JS,,Free for personal and non-commercial uses.[88] Paid for commercial applications.[89],,,,,,,,,,,,,,,,,,,,,,,,,,
MetricsGraphics,Mozilla Public License Version 2.0[91],,,,,,,,,,,,,,,,,,,,,,,,,,,
MuzeJS,MIT[92],,,,,,,,,,,,,,,,,,,,,,,,,,,
NextCharts,Apache 2.0[93],,,,,,,,,,,,,,,,,,,,,,,,,,,
NVD3,Apache 2.0[94],,,,,,,,,,,,,,,,,,,,,,,,,,,
OLAPCharts,,Free basic edition[96],,,,,,,,,,,,,,,,,,,,,,,,,,
plotly.js,MIT[97],,,Yes[98],,,,,,,,,via Python[99],,,,,,,,,,,,,,,
PlusCharts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReactiveChart,MIT[101],,,,,,,,,,,,,,,,,,,,,,,,,,,
RGraph,MIT[102],,,,,,,,,,,,,,,,,,,,,,,,,,,
rickshaw,MIT[103],,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield UI,,Non-commercial or commercial[105],,,,,,,,,,,,,,,,,,,,,,,,,,
Syncfusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeeChart JS,MIT[113],,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaadin Charts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VanCharts,,cc-by-nc 4.0 [115] or commercial [115],,,,,,,,,,,,,,,,,,,,,,,,,,
VisJS,Apache 2.0 and MIT[116],,,,,,,,,,,,,,,,,,,,,,,,,,,
Webcharts,MIT[124],,,,,,,,,,,,,,,,,,,,,,,,,,,
Webix JS Charts,GPL[125],,,,,,,,,,,,,,,,,,,,,,,,,,,
xcharts,MIT[136],,,,,,,,,,,,,,,,,,,,,,,,,,,
YUI Charts,BSD-3[137],,,,,,,,,,,,,,,,,,,,,,,,,,,
ZingChart,,Free with a link [139] or commercial[140],,,,,,,,,,,,,,,,,,,,,,,,,,
ZoomCharts,,Non-commercial or commercial[142],,,,,,,,,,,,,,,,,,,,,,,,,,
