!AngularJS,Apache Royale,Dojo,Ember.js,Enyo,Ext JS,Google Web Toolkit,jQuery,jQWidgets,MooTools,OpenUI5,Prototype & script. aculo.us[10],qooxdoo,SproutCore,Svelte,Vue,Wakanda,ZK,Webix
Feature detection[12],,,,,,,,,,,,,,,,,Partial,
DOM wrapped[20],,,,,,,,,,,,,,,,,,
XMLHttpRequest data retrieval,,,,,,,,,,,,,,,,,,
WebSocket,,,,,,,,,,,,,, Via Plugin,,,,
Server push data retrieval,,,,,,,,,,,,,, Via Plugin,,,,
Other data retrieval,," Yes: XML, HTML, CSV, ATOM, AMF, JSON"," Yes: XML, HTML, CSV, ATOM[33]",,," Yes: XML, SOAP, AMF, Ext.Direct"," Yes: RPC, RequestFactory"," Yes: XML, HTML"," Yes: XML, JSON, CSV, TSV[25]"," Yes: XML, HTML",,,,,,," Yes: JSON-RPC, Wakanda REST",
Drag and drop,,,,,,, With plugin[35],With plugins[36],,,,,,,,,,
Simple visual effects,,,,,,,,,,,,,,,,,,
Animation / advanced visual effects,,,,,,,,,,,,,,,,,,
Back button support / history management,,,,,,,,With plugins[51],,With plugin[52],,,,,,,,
Input form widgets & validation,,,,,,,",With plugins[55],,,,,,,,,,
,AngularJS,Apache Royale,Dojo,Ember.js,Enyo,ExtJS,Google Web Toolkit,jQuery,jQWidgets,MooTools,OpenUI5,Prototype & script. aculo.us[10],qooxdoo,SproutCore,Svelte,Vue,Wakanda,ZK
Grid,,,,,,,,With plugins[60],,With plugin[62],,,,,,,,
Hierarchical Tree,,,,,,,,With plugins[68],,With plugins[70],,,,,,,,
Rich text editor,,,,,,,,With plugins[76],,,,,,Via plugin,,,,
Autocompletion tools,,,,,,,,,,With plugin[84],,,,With plugins,,,,
HTML generation tools,,,,,,,,,,,,,,,,,,
Widgets themeable / skinnable,,,,,,,,,,,,,,,,,,
GUI resizable panels and modal dialogs,,,,,,,,With plugins,,,,,,,,,,
GUI page layout,,,,,,,,With plugin[97],,,,,,,,,,
Canvas support,,,,,,,,With plugin[103],,,,,,,,,,
Mobile/tablet support (touch events),,,,,,,With plugin[109],With plugin[110],,With plugin[112],,,,,,,,
Accessibility / graceful degradation[117],,,,,,,,,,,,,, Degradation: No Accessibility: Yes,,,,
ARIA compliant,,,,,,,,,,,,,,,,,,
"Developer tools, Visual design",,,,,in progress[128],,,,,,,,,,,,,
Offline storage[143],,,,,,, Via Google Gears[146],With plugin[147],,,,,,,,,planned,
Cross-browser 2d Vector Graphics[149],,,,,,,, With plugin[151],,,,,,,,,,
Charting & Dashboard[154],,,,,,,,With plugin[157][158],,,,,,,,,,
RTL Support in UI Components,,,,,,,,Depends on the plugin used,,,,,,,,,,
