JVM,Status,Latest supported Java version,Supported class libraries,,,Performance,,
,,,GNU Classpath,OpenJDK,Other,Interpretation,AOT,JIT
GCJ,No longer maintained or distributed by GNU as of GCC 7 [14],,,,,,,
"HotSpot, OpenJDK edition",Reference implementation.,1.8,,,,,,
"HotSpot, Oracle JDK edition",Reference implementation.,1.8,,,,,,
"HotSpot, Java SE embedded edition",,,,,,,,
"HotSpot, Zero port",Interpreter-only port of OpenJDK using almost no assembly language and designed to be very portable.,1.7,,,,,,
IKVM.NET,,,,,,Whatever the .NET runtime uses,,
JAmiga,,1.4[15],,,,,,
JamVM,,1.8[18],,,,,,
Jato VM,,1.6[20],,,,,,
JC virtual machine,Translates Java to C and compiles it with a C compiler.,1.4[22],,,,,,
Jikes RVM,,1.6[25],,Port[27][28],Apache Harmony[26],,,
Kaffe,,1.4[11],,,,,,
Mysaifu JVM,,,,,,,,
SableVM,Unmaintained,1.4,,,,,,
