Distribution,Size of media (MB),RAM use (MB),Boots from CD,Boots from DVD,Installable live CD/DVD,Installable from USB
Arch Linux,742,,,,,
AUSTRUMI,301,,,,,
BLAG Linux and GNU,696,,,,,
Bodhi Linux,1024,80,,,,
CentOS,603 (Minimal) 4096 (DVD),,,,Yes (installable since 6.0),
Chakra,2150,,,,,
Debian,958,,,,,
Devuan,868,,,,,
Dragora GNU/Linux-Libre,655,,,,,
dyne:bolic,1650,,up to version 2.x,,,
Fedora,1434,256 to 1024,,,,
Gentoo,260 (Minimal) 2048 (Live DVD),up to 128,,,,
gNewSense[208],1200,512,,,,
Grml,460,32 to 128,,,,
Guix System[209],562,2084,,,,
Hyperbola GNU/Linux-libre,660 and 688,,,,,
Knoppix CD,700,128 to 320,,,Only DVD edition is maintained,
Knoppix DVD,4813,128 to 500,,,,
LibreCMC,,,,,,
Mandriva Linux One,700,128 to 768,,,,
Manjaro Linux,"473 to 2,200[210]",256 to 1024,,,,
MEPIS,700 to 4000,128 to 512,,,,
Musix GNU+Linux,2000,,,,,
Nanolinux,18,64prefix=?,,,,
openGEU,700,192 to 512,,,,
openSUSE (Not 42.1),700,128 to 768,,,,
OpenWrt,4prefix=min ,16prefix=min ,,,,
Parabola GNU/Linux-libre,400 to 3300,,,,,
Pardus,1256 to 1276,256 to 1024,,,,
PCLinuxOS,130 to 700,96 to 512,,,,
Pentoo,666 and 700,48 to 96,,,By hand[211],By hand
Porteus,224 to 373,min 36,,,,
Puppy Linux (Slacko),235,32 to 192,,,,
Puredyne,542,,,,,
Sabayon Linux Live CD,695,,,,,
Sabayon Linux Live DVD,2400,,,,,
Scientific Linux,431 to 2300[212],640,,,,
Slackware,2600,64 to 1024[213],,,,
Slax,200,96 to 320,,,,
Solus,1200,1024,,,,
SystemRescueCD,459,,,,,
SliTaz GNU/Linux,50,48 to 256,,,,
Tails,900prefix=?,1024prefix=?,,,,
Tiny Core Linux,16,46,,,,
Tiny SliTaz,1.44,4,,,By SliTaz,By SliTaz
Trisquel,"1,500[214]",384,,,,
TurnKey GNU/Linux Core (base) appliance ISO,212,173prefix=~,,,,
Ubuntu,"1,700[215]",384,,,,
Ututo,3500,,,,,
Edubuntu,"2,900[216]",,,,,
Kubuntu,"1,400[217]",384,,,,
XBMC Live,700,256 to 1024,,,,
Zentyal,600,256,,,,
Xubuntu,1200[218],256,,,,
Distribution,Size of media (MB),RAM use (MB),Boots from CD,Boots from DVD,Installable live CD/DVD,Installable from USB
