Name,Windows,Mac OS X,Linux,BSD,Unix,Android,iOS,Updated
Atlantis,,,,,,,,2006
Axmud,,,,,,,,2019
BeipMU,,,,,,,,2020
BioMUD,,,,,,,,2016
Blightmud,,,,,,,,2020
BlowTorch,,,,,,,,2018
CMUD,,,,,,,,2010
GGMUD,,,,,,,,2007
GMUD,,,,,,,,1998
Gnome-Mud,,,,,,,,2018
JamochaMUD,CPI,CPI,CPI,CPI,CPI,,,2014
KBtin,,,,,,,,2018
KildClient,,,,,,,,2017
KMuddy,,,,,,,,2009
Lyntin,CPI,CPI,CPI,CPI,CPI,,,2008
mcl,,,,,,,,2003
muby,,CPI,CPI,CPI,CPI,,,2009
Mud Gangster,,,,,,,,2020
Mudlet,,,,,,,,2020
MudMagic,,,,,,,,2006
MUDRammer,,,,,,,,2015
MUSHclient,,,,,,,,2019
Portal,,,,,,,,2013
Potato,CPI,CPI,CPI,CPI,CPI,,,2017
Powwow,,,,,,,,2020
Pueblo/UE,,,,,,,,2004
SimpleMU,,,,,,,,2001
Soiled,CPI,CPI,CPI,CPI,CPI,,,2012
TinTin++,Cygwin[18],,,,,Termux,iSH,2020
TinyFugue,,,,,,,,2007
Tortilla,,,,,,,,2018
Trebuchet,CPI,CPI,CPI,CPI,CPI,,,2015
Wintin.Net,,,,,,,,2007
zMUD,,,,,,,,2008
