Name,COLOR,VT100,TLS,NAWS[19],EOR[20],ECHO[21],MCCP[22][23],MXP[24],MSP[25],MMCP[26],256 colors,Unicode
Atlantis,,,,,,,,,,,,
Axmud,,,,,,,,,,,,
BeipMU,,,,,,,,,,,,
BioMUD,,,,,,,,,,,,
Blightmud,,,,,,,,,,,,
BlowTorch,,,,,,,,,,,,
CMUD,,,,,,,,,,,,
GGMUD,,,,,,,,,,,,
GMUD,,,,,,,,,,,,
Gnome-Mud,,,,,,,,,,,,
JamochaMUD,,,,,,,,,,,,
KBtin,,,,,,,,,,,,
KildClient,,,,,,,,,,,,
KMuddy,,,,,,,,,,,,
Lyntin,,,,,,,,,,,,
mcl,,,,,,,,,,,,
muby,,,,,,,,,,,,
Mud Gangster,,,,,,,,,,,,
Mudlet,,,,,,,,,,,,
MudMagic,,,,,,,,,,,,
MUDRammer,,,,,,,,,,,,
MUSHclient,,,,,,,,,,Plugin,,
Portal,,,,,,,,,,,,
Potato,,,,,,,,,,,,
Powwow,,,,,,,,,,,,
Pueblo/UE,,,,,,,,,,,,
SimpleMU,,,,,,,,,,,,
Soiled,,,,,,,,,,,,
TinTin++,,,,,,,,,Plugin,,,
TinyFugue,,,,,,,,,,,,
Tortilla,,,,,,,,,,,,
Trebuchet,,,,,,,,,,,,
Wintin.Net,,,,,,,,,,,,
zMUD,,,,,,,,,,Plugin,,
