Model,USB,Gigabit Ethernet,AirPort Extreme,Bluetooth,Video interface,SD card slot,Keyboard and mouse,iSight/Facetime Camera,Remote IR receiver
Mac mini[1],4,,,,HDMI and Thunderbolt 2,,,,
iMac 21.5 in[2],4,,,,Thunderbolt 3,,,,
iMac 21.5 in Retina Display[2],4,,,,Thunderbolt 3,,,,
iMac 27 in[2],4,,,,Thunderbolt 3,,,,
Mac Pro Quad-Core[3],4,2,,,HDMI and Thunderbolt 2,,,,
Mac Pro 6-Core[3],4,2,,,HDMI and Thunderbolt 2,,,,
MacBook Air[4],2,,,,Thunderbolt 2,,Integrated,,
MacBook Pro 13 in 2.0 GHz[5],2 USB-C,,,,Thunderbolt 3,,Integrated,,
MacBook Pro 13 in 2.9 GHz[5],4 USB-C,,,,Thunderbolt 3,,Integrated,,
MacBook Pro 15 in 2.6 GHz[5],4 USB-C,,,,Thunderbolt 3,,Integrated,,
MacBook Pro 15 in 2.7 GHz[5],4 USB-C,,,,Thunderbolt 3,,Integrated,,
MacBook Pro 13 in 2.7 GHz[5],2,,,,HDMI and Thunderbolt 2,,Integrated,,
MacBook Pro 15 in 2.2 GHz[5],2,,,,HDMI and Thunderbolt 2,,Integrated,,
