Name,Vendor,License,Transactional,Under active development,MySQL versions,MariaDB versions
Archive,Oracle,GPL,,,5.0 - present,5.1 - present
Aria,MariaDB,GPL,,,None,5.1 - present
Berkeley DB,Oracle,AGPLv3,,,,None
BLACKHOLE,Oracle,GPL,,,5.0 - present,5.1 - present
CONNECT,MariaDB,GPL,,,None,10.0 - present
CSV,Oracle,GPL,,,5.0 - present,5.1 - present
Falcon,Oracle,GPL,,,,None
Federated,Oracle,GPL,,,5.0 - present,5.1 - 
FederatedX,MariaDB,GPL,,,None,
InfiniDB,Calpont,GPL,,,None,None
InnoDB,Oracle,GPL,,,3.23 - present,5.1 - present
MEMORY,Oracle,GPL,,,3.23 - present,5.1 - present
Mroonga,Groonga Project,GPL,,,None,10.0 - present
MyISAM,Oracle,GPL,,,3.23 - present,5.1 - present
MyRocks,Facebook,GPLv2,,,None,10.2 - present
NDB,Oracle,GPLv2,,,,None
OQGRAPH,Oracle,GPLv2,,,None,5.2 - present
S3,MariaDB,GPL,,,None,10.5 - present
SEQUENCE,MariaDB,GPL,,,None,10.0 - present
Sphinx,Sphinx Technologies Inc.,GPL,,,None,5.2 - present
SPIDER,Kentoku Shiba,GPL,,,None,10.0 - present
TempTable,Oracle,GPL,,,8.0 - present,None
TokuDB,Percona,Modified GPL,,,None,5.5 - present
XtraDB,Percona,GPL,,,None,5.1 - 10.1
