NMDC Client,FOSS,Software license,Active,Windows,Linux,Mac OS X,Other OS,GUI,CLI,Other UI,Programming language,Based on
MLDonkey,,GNU GPL,,,,,,,,WebUI,"OCaml, C, assembly",
Shareaza,,GNU GPL,,,,,,,,,C++,
NeoModus Direct Connect,,,,,,,,,,,"Visual Basic, C++",
ShakesPeer,,GNU GPL,,,,,,,,,C,
Valknut,,GNU GPL,,,,,FreeBSD,,,,C++,
DCTC,,GNU GPL,,,,,,,,,C++,
DC#,,GNU GPL,,,,,,,,,C#,
LDCC,,GNU GPLv2,,,,,,,,,C,
DCDM++,,GNU GPL,,,,,,,,,C++,DC++
fulDC,,GNU GPL,,,,,,,,,C++,DC++
RevConnect,,GNU GPL,,,,,,,,,C++,DC++
CzDC,,GNU GPL,,,,,,,,,C++,DC++
EiskaltDC,,GNU GPL,,,,,FreeBSD,,,,C++,Valknut
ncdc,, MIT Licence,,,,,FreeBSD,,,,C,
NMDC Client,FOSS,Software license,Active,Windows,Linux,Mac OS X,Other OS,GUI,CLI,Other UI,Programming language,Based on
