OLAP server,cubes,measures,dimensions,dimensions in cube,hierarchies in dimension,levels in hierarchy,dimension members
Apache Kylin,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted
ClickHouse,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted
Druid,Unrestrictedname=fn0,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted
Essbase[35],Unrestricted,Unrestricted,Unrestricted,255,255,?,"20,000,000 (ASO), 1,000,000 (BSO)"
IBM Cognos TM1,Unrestrictedname=fn0,Unrestricted,Unrestrictedname=fn0,256,Unrestrictedname=fn0,Unrestricted,Unrestricted
icCube,"2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647"
Jedox OLAP Server,2^{32} (32 bits),2^{32},2^{32} (32 bits),250,2^{32},2^{32},2^{32}
Kyvos,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted
Microsoft Analysis Services[36],"2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647 (max. number of dimensions in a database)","2,147,483,647","2,147,483,647","2,147,483,647 (xOLAP) Unrestricted (In-memory)"
MicroStrategy Intelligence Server,Unrestrictedname=fn0,Unrestrictedname=fn0,Unrestrictedname=fn0,?,Unrestrictedname=fn0,Unrestrictedname=fn0,Unrestrictedname=fn0
SAS OLAP Server[37],Unrestrictedname=fn0,1024,128,?,128,19,"4,294,967,296"
