Meaning,Spanish,Portuguese,Notes
"newspaper, journal",periódico < Lat. period?cus < gr. ?????????? [18],jornal < Fra. journal,
journalist,periodista < Lat. period?cus < gr. ?????????? [19],jornalista < Fra. journaliste,
journey,recorrido < Lat. recurr?re [20],jornada < Provençal. jornada < jorn[21],
shop window,escaparate < Ned. schaprade[22],montra < Fra. montre,The French-derived term vitrina (in both Spa/Por) or vitrine (in Por) is also used.
"boutique, clothes store",tienda< Lat. tenda[23],"boutique, butique < Fra. boutique[24]",
scarf,"bufanda < Uncertain, maybe O.Fra. bouffant[25]","cachecol, écharpe cache-col, écharpe[26]",
"lampshade, bedside lamp",lámpara < Lat. < Gre. lamp?da < ??????[27],abajur < Fra. abat-jour[28],
New Year's Eve,Nochevieja < Lat. noctis + veclus < vet?lus[29],Reveillon < Fra. Reveillon,
frisson,escalofrío < Lat. + prefix ex + cale+ frige[30],frisson < Fra. frisson[31],
"gaffe, blunder",metedura de pata < Lat. + Ar.  < mitt?re + batt[32],gafe < Fra. gaffe [33],
brioche,5oMzmRS[34],brioche < Fra. brioche [35],
croissant,medialuna < Lat.  < media + luna[36],"croissant, croassã < Fra. croissant [37]",
"courgette, zucchini",calabacín < Pre-roman calabaza[38],"courgette, curgete < Fra. courgette [38]",
blueberry,arándano < Celt + Lat. aran + rodamd?rum[39],mirtilo < Fra. myrtille [40],In Por. arando < Celt aran means cranberry
"billy club, truncheon",porra < Lat. porrum[41],"cassetete, casse-tête < Fra. casse-tête [42]",
creche,JjJWqPL,creche < Fra. crèche[43],
voyeur,mirón < Lat. mir?ri [44],voyeur < Fra. voyeur,
omelette,tortilla < uncertain + suffix torta + illa ,omelete < Fra. omelette[45],
swing,columpio < Leon. < Gr. columbiar < ???????? kolymbân  [46],balancé < Fra. balancé[47],
lipstick,pintalabios < Lat. pinct?re + labium [48],batom < Fra. bâton[49],
cap,gorra < uncertain gorra [50],boné < Fra. bonnet[51],
hat,sombrero < Lat subumbr?re[52],chapéu < O.Fra. chapel[53],
"fanny, pussy",coño < Lat cunnus [54],chochota < Fra. chochotte[55],popular slang/vulgar word in Brazil
(train) station,estación (ferrocarril) < Lat. stati?nis[56],gare < Fra. gare [57],The term gare in Port. is also used for bus-station.
"quay, jetty, key",PzvbXVy,cais < Fra. quai [58],The term cais in Port. is also used for railway platforms.
vehicle,vehículo < Lat. vehiculum[59],viatura < Fr. voiture [60],
"package, packaging",envase < Lat. in + vasum[61],embalagem < Fr. emballage [62],
rissole,empanadilla rellena < Lat. + prefix en + panis + re + plenus,"rissol, rissole < Fra. rissole[63]",
souvenir,recuerdo < Lat. record?ri[64],"souvenir, suvenir < Fr. souvenir [65]",
strike,huelga < Lat. follic?re[66],greve < Fr. grève [67],
