Name,macOS,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AIX,HP-UX,iOS,Android,Maemo,Windows Phone
AbsoluteTelnet,,,,,,,,,,,,,,,
Bitvise SSH Client,,,,,,,,,,,,,,,
ConnectBot,,,,,,,,,,,,,,,
CRAX Commander,,,,,,,,,,,,,,,
Dropbear,,,,,,,,,,,,group=Noteiosjailbreak,,,
eSSH Client,,,,,,,,,,,,,,,
lsh,,,,group=Notefreebsdonly,,,,,,,,,,,
OpenSSH (OpenBSD Secure Shell),,group=Notewin32openssh,,,group=Noteopensshlinux,,,,,,,group=Noteiosjailbreak,,,
PuTTY,,,,,,,,,,,,,,,
SecureCRT,,,,,,,,,,,,,,,
SmartFTP,,,,,,,,,,,,,,,
Tera Term,,,,,,,,,,,,,,,
TN3270 Plus,,,,,,,,,,,,,,,
TtyEmulator,,,,,,,,,,,,,,,
WinSCP,,,,,,,,,,,,group=Noteiosjailbreak,,,
wolfSSH,,,,,,,,,,,,,,,
ZOC,,,,,,,,,,,,,,,
Name,OS X,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AIX,HP-UX,iOS,Android,Maemo,Windows Phone
