Name,Developer,Status,First release,Latest release,Current version,Based on,License,Source available
AbsoluteTelnet,Celestial Software (Brian Pence),,1996,2016-10-12,10.16[1],,,
Bitvise SSH Client,Bitvise Limited,,2001,2020-05-22,8.43[2],,,
ConnectBot,Kenny Root / Jeffrey Sharkey,,2007-11,2019-11-12,1.9.6 [3],Trilead SSH-2 for Java,Apache,
CRAX Commander,Soft4U2 Marcin S?owik,,2013-09,2015-12-01,1.10.6,libSSH2,,
Dropbear,Matt Johnston,,2003-04-06,2017-05-18,2017.75,,MIT,
eSSH Client,Ecode Software,,2002-07,,,,,
lsh,Niels Möller,,1999-05-23,2013-06-26,2.1,,GPL,
OpenSSH (OpenBSD Secure Shell),The OpenBSD project,,1999-12-01,2020-09-27,8.4[4],ossh,BSD,
PuTTY,Simon Tatham,,1999-01-22,2020-06-27,0.74[5],,MIT,
SecureCRT,VanDyke Software,,1998-06,2020-02-11,8.7.0[6],,,
Tera Term,TeraTerm Project,,2004,2018-08-31,4.100[7],Tera Term Pro 2.3 (1994–1998),BSD,
TN3270 Plus,"SDI USA, Inc.",,2006,,,,,
TtyEmulator,FCS Software,,2002-05,,,,,
wolfSSH,wolfSSL,,2016-07-20,2019-10-31,1.4.3,wolfCrypt, GPL or Commercial Distribution,
ZOC Terminal,"EmTec, Innovative Software",,1995-07-01,2020-11-16,8.01.2[8],,,
