Implementation,brainpoolP256r1 (26)[145],brainpoolP384r1 (27)[145],brainpoolP512r1 (28)[145],X25519 [146],Curve448 Ed448-Goldilocks [147],M221 Curve2213 [148],E222 [148],Curve1174 [148],E382 [148],M383 [148],Curve383187 [148],Curve41417 Curve3617 [148],M511 Curve511187 [148],E521 [148]
Botan,,,,,,No,No,No,No,No,No,No,No,No
BoringSSL,No,No,No,,,No,No,No,No,No,No,No,No,No
GnuTLS,No,No,No,,,No,No,No,No,No,No,No,No,No
JSSE,No,No,No,Yes (JDK 13+)[151],,No,No,No,No,No,No,No,No,No
LibreSSL,,,,,,No,No,No,No,No,No,No,No,No
MatrixSSL,,,,TLS 1.3 only[153],,No,No,No,No,No,No,No,No,No
Mbed TLS,,,,Primitive only[155],Primitive only[156],No,No,No,No,No,No,No,No,No
NSS,No[157],No[157],No[157],,,No,No,No,No,No,No,No,No,No
OpenSSL,,,,,,No,No,No,No,No,No,No,No,No
RSA BSAFE,No,No,No,,,No,No,No,No,No,No,No,No,No
"SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10",No,No,No,,,No,No,No,No,No,No,No,No,No
Secure Transport,No,No,No,,,No,No,No,No,No,No,No,No,No
wolfSSL,,,,,,No,No,No,No,No,No,No,No,No
Erlang/OTP SSL application,,,,,,No,No,No,No,No,No,No,No,No
Implementation,brainpoolP256r1 (26),brainpoolP384r1 (27),brainpoolP512r1 (28),Curve25519,Curve448 Ed448-Goldilocks,M221 Curve2213,E222,Curve1174,E382,M383,Curve383187,Curve41417 Curve3617,M511 Curve511187,E521
