Implementation,Secure Renegotiation [166],Server Name Indication [167],ALPN [168],Certificate Status Request [167],OpenPGP [169],Supplemental Data [170],Session Ticket [171],Keying Material Exporter [172],Maximum Fragment Length [167],Truncated HMAC [167],Encrypt-then-MAC [173],TLS Fallback SCSV [174],Extended Master Secret [175],ClientHello Padding [176],Raw Public Keys [177]
Botan,,,,,,,,,,No,,,,,
cryptlib,,,,,,,,,,No,,,,,
GnuTLS,,,,,,,,,,No,,,,,
JSSE,,,,,,,,,,No,,,,,
LibreSSL,,,,,,,,,,No,,Server side only[188],,,
MatrixSSL,,,,,,,,,,Yes,,,,,
Mbed TLS,,,,,,,,,,Disabled by default[26],,,,,
NSS,,,,,,,,,,No,,,,,
OpenSSL,,,,,,,,,,No,,,,,
RSA BSAFE Micro-Edition Suite,,,,,,,,,,Yes,,,,,
RSA BSAFE SSL-J,,,,,,,,,,Yes,,,,,
SChannel XP/2003,,,,,,,,,,No,,,,,
SChannel Vista/2008,,,,,,,,,,No,,,,,
SChannel 7/2008R2,,,,,,,,,,No,,,,,
SChannel 8/2012,,,,,,,Client side only[201],,,No,,,,,
"SChannel 8.1/2012R2, 10",,,,,,,,,,No,,,,,
Secure Transport,,,,,,,,,,No,,,,,
wolfSSL,,,,,,,,,,Yes,,,,,
Erlang/OTP SSL application,,,,,,,,,,No,,,,,
Implementation,Secure Renegotiation,Server Name Indication,ALPN,Certificate Status Request,OpenPGP,Supplemental Data,Session Ticket,Keying Material Exporter,Maximum Fragment Length,Truncated HMAC,Encrypt-then-MAC,TLS Fallback SCSV,Extended Master Secret,ClientHello Padding,Raw Public Keys
