Implementation,SSL 2.0 (insecure)[12],SSL 3.0 (insecure)[13],TLS 1.0[14],TLS 1.1[15],TLS 1.2[16],TLS 1.3,DTLS 1.0[17],DTLS 1.2[10]
Botan,No,No[18],Yes,Yes,,,Yes,
BoringSSL,,,Yes,Yes,,,Yes,
Bouncy Castle,No,No,Yes,Yes,,Yes (draft version),Yes,
cryptlib,No,Disabled by default at compile time,Yes,Yes,,,No,
GnuTLS,Nogroup=protocolsupporta,Disabled by default[19],Yes,Yes,,Yes[20],Yes,
JSSE,Nogroup=protocolsupporta,Disabled by default[21],Yes,Yes,,Yes (JDK 11+)[22],Yes,
LibreSSL,No[23],No[24],Yes,Yes,,,Yes,
MatrixSSL,No,Disabled by default at compile time[25],Yes,Yes,,,Yes,
Mbed TLS,No,Disabled by default[26],Yes,Yes,,,Yes[26],
NSS,Nogroup=protocolsupportb,Disabled by default[27],Yes,Yes[28],,,Yes[28],
OpenSSL,No[32],Disabled by default,Yes,Yes[33],,,Yes,
RSA BSAFE[35],No,Disabled by default,Yes,Yes,,,No,
S2n[36],No,Disabled by default,Yes,Yes,,,No,
"SChannel XP, 2003[37]",Disabled by default in MSIE 7,Enabled by default,Enabled by default in MSIE 7,No,,,No,
SChannel Vista[38],Disabled by default,Enabled by default,Yes,No,,,No,
SChannel 2008[38],Disabled by default,Enabled by default,Yes,Disabled by default (KB4019276),Disabled by default (KB4019276),,No,
"SChannel 7, 2008R2[39]",Disabled by default,Disabled by default in MSIE 11,Yes,Enabled by default in MSIE 11,Enabled by default in MSIE 11,,Yes[40],
"SChannel 8, 2012[39]",Disabled by default,Enabled by default,Yes,Disabled by default,Disabled by default,,Yes,
"SChannel 8.1, 2012R2, 10 v1507 & v1511[39]",Disabled by default,Disabled by default in MSIE 11,Yes,Yes,,,Yes,
SChannel 10 v1607 / 2016[41],No,Disabled by default,Yes,Yes,,,Yes,
"Secure Transport OS X 10.2-10.7, iOS 1-4",Yes,Yes,Yes,No,,,No,
"Secure Transport OS X 10.8-10.10, iOS 5-8",Nogroup=protocolsupportc,Yes,Yes,Yesgroup=protocolsupportc,group=protocolsupportc,,Yesgroup=protocolsupportc,
"Secure Transport OS X 10.11, iOS 9",No,Nogroup=protocolsupportc,Yes,Yes,,,Yes,
"Secure Transport OS X 10.13, iOS 11",No,Nogroup=protocolsupportc,Yes,Yes,,Yes (draft version)[42],Yes,
wolfSSL,No,Disabled by default[43],Yes,Yes,,,Yes,
Erlang/OTP SSL application,No,Disabled by default,Yes,Yes,, Not yet,Yes,
Implementation,SSL 2.0 (insecure)[12],SSL 3.0 (insecure)[13],TLS 1.0[14],TLS 1.1[15],TLS 1.2[16],TLS 1.3,DTLS 1.0[17],DTLS 1.2[10]
