Name,Collapsible sections,Find and replace using RegEx,Intelligent error handling,Autocompletion of LaTeX commands,Parenthesis matching,Starts up to previous state[11],Unicode support,RTL Support[12]
AUCTeX,,,,,,,,
Authorea,,,,,,,,?
Auto-Latex Equations for Google Docs,,,,,,,,?
CoCalc,,,,,,,,?
GNOME LaTeX,Planned,,,,,(just same files),,
Gummi,,,,,,,,?
Kile,Yes[14],,,,,,,
LEd,,,?,,,,,?
LyX,,,,,,,,
MeWa,,,,,,,,?
Notepad++,,,,,,,,
Overleaf,,,,,,,,?
Scientific WorkPlace,,?,?,,,,,?
TexLab,,,,,,,,
TeXmacs,,,,,,,,?
Texmaker,,,,,,,,
TeXnicCenter,since v2.0,since v2.0,,,,,since v2.0,?
TeXShop,,,,,,,,?
TeXstudio,,,,,,,,
TeXworks,,,,,,,,
Verbosus,,,,,,,,?
WinEdt,,,,,,,,
WinShell,,,,,,,,?
Name,Collapsible sections,Find and replace using RegEx,Intelligent error handling,Autocompletion of LaTeX commands,Parenthesis matching,Starts up to previous state[18],Unicode support,RTL Support[19]
