Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip or unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
Arachne,GUI,Traditional Newsreader,,,,,,,,,Free,"DOS, Unix-like",GPL,
BinTube,GUI,Binary Grabber,,,,,,,,,$59.95 / Free with subscription,Microsoft Windows,,Streams media while downloading; Free with Usenet Service
Claws Mail,GUI,,,,,,,,,,Free,Cross-platform,GPL,
Forté Agent,GUI,Combination,,,,,,,,,$29,Microsoft Windows,,Includes 3 month newsgroup service trial; Shareware
Gnus,Text-based,Traditional Newsreader,,,,,,,,,Free,Cross-platform,GPL,Runs in Emacs; also does Email
GrabIt,GUI,Binary Grabber,,,,,,,,,Free (searching extra),Microsoft Windows,,Usenet Search Service
KNode,GUI,Traditional Newsreader,,,,,,,,,Free,Unix-like,GPL,KDE
Lotus Notes,GUI,Traditional Newsreader,,,,,,,,,Varies,"Microsoft Windows, Unix-like, Mac OS X",,
Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
Lynx,Text-based,Traditional Newsreader,,,,,,,,,Free,Cross-platform,GPL,Limited USENET support
Mozilla Mail & Newsgroups,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,MPL/GPL/LGPL tri-license,Replaced by SeaMonkey Mail & Newsgroups
Mozilla Thunderbird,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,MPL,Plugin support
Newsbin Pro,GUI,Binary Grabber,,,,,,,,,$20,Microsoft Windows,,Shareware
NewsLeecher,GUI,Combination,,,,,,,,,Varies,Microsoft Windows,,Shareware
Novell GroupWise,GUI,Traditional Newsreader,,,,,,,,,Varies,"Microsoft Windows, Unix-like",,
Opera Mail,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,,Part of Opera up to version 12.17
Outlook Express,GUI,Traditional Newsreader,,,,,,,,,,Microsoft Windows,,Part of Microsoft Windows (up to Windows Server 2003)
Pan,GUI,Combination,,,,,,,,,Free,"Unix-like, Microsoft Windows",GPL,Gtk+
Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip & unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
Seamonkey Mail & Newsgroups,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,MPL,Replaced Mozilla Mail & Newsgroups
slrn,text-based,Traditional Newsreader,,,,,,,,,Free,Cross-platform,GPLv2+,Highly extensible using S-Lang scripts (macros)
Sylpheed,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,GPL/LGPL,Gtk+
tin,text-based,Traditional Newsreader,,,,,,,,,Free,Unix-like,BSD,Free Software
Unison,GUI,Combination,,,,,,,,,Free,Mac OS X,,Development has ceased. Free but unsupported.
Usenet Explorer,GUI,Combination,,,,,,,,,$35,Microsoft Windows,,Shareware
Windows Live Mail,GUI,Traditional Newsreader,,,,,,,,,Free,Microsoft Windows,,
Windows Mail,GUI,Traditional Newsreader,,,,,,,,,,Microsoft Windows,,Part of Windows Vista and Windows Server 2008. No Newsgroup or Usenet support in Windows 10.[1]date=May 2020
Xnews,GUI,Combination,,,,,,,,,Free,Microsoft Windows,,
XPN,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,GPL,
Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
