Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
AudioCodes MobilityPLUS,"Windows, Android, iOS",,,"SIP, RTP, XMPP, STUN, ICE","G.722 wideband, G.711a, G.711u, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus","TLS, SRTP",,"Voice, video, IM, Group chat, content sharing, SMS and MMS over IP services, native and social network contacts integration, incoming call/IM push notifications.",2014
Avaya Application Server 5300 Soft Client,Windows,,,"SIP, RTP",,"TLS, SRTP",,,2.0; 2010
Blink,"Linux, macOS, Windows",Mixed: free software versions under GNU GPLv3 + shareware versions under gplv3 with exception of including proprietary code,"macOS version proprietary on App Store, free version limited to sponsored SIP provider; Windows version proprietary; Linux version open source","ICE, SIP, MSRP, RFB (VNC), XCAP","Opus, speex, G.722, GSM, iLBC, PCMU, PCMA","TLS, SRTP and ZRTP on all versions, OTR/SMP on Linux and macOS only[2]",No limit,"IM, file transfer, desktop sharing, multi-party conference, wideband",Blink Qt
CSipSimple,Android,GPL,,"SIP, ICE, STUN, TURN","Opus, AMR, G.711 (u-law/a-law), speex, G.722, GSM, iLBC, G.729 (need to buy a licensed plugin), iSAC, SILK (narrow-band/wide-band/ultra wide-band)","SRTP, SIP over TLS 1.0 and ZRTP",,"SIP SIMPLE messaging, Support for IPv6, Integration with Android operating system with filters and rewriting rules",1.0.2; 201411
Cisco IP Communicator[3],Windows,,,"SCCP (Skinny), SIP, TFTP, HTTP (for XML Services)","G.722 wideband, G.711a, G.711u, iLBC, iSAC, G.729a, G.729ab",SRTP,"No limit (with bridge), 2 otherwise[4]","Call Recording, Silent Monitoring, Multiple lines and directory numbers, Configurable speed dial, Calling name and number display, Call Waiting, Call Forward, Call Transfer, Three-Way Calling (conference), Call Park, Call Pickup, Redial, Hold, Barge, Callback, Extension Mobility, Message waiting indicator, iDivert, Meet Me conferencing, Group Pickup, Do Not Disturb, XML Services",8.6.6; 20160427
CounterPath Corporation Bria,"Windows, macOS, iOS, Android",,,"SIP, RTP, XMPP, STUN, ICE","G.722 wideband, G.711a, G.711u, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus","TLS, SRTP","6 party voice, 3 party video","Voice and video calling, SIP and XMPP messaging support, group chat, file, image and document sharing, contact integration, incoming call/IM push notifications",5.3.4  20180723 
Discord,"macOS, Android, iOS, Windows, Linux",,","RTP, UDP, WS, HTTPS",Opus,TLS,"5000 soft limit for voice calls,[5] 25 hard limit for video[6]","IM, file sharing, in-game overlay",59746; 20200424
Ekiga,"Linux, Windows, OpenSolaris",GPL,,"SIP, H.323, STUN, Zeroconf, XMPP, RTP","H.263, H.264/MPEG-4 AVC, Theora, iLBC, Speex, SILK, GSM, ...",,,"Video, IM, LDAP, Call Forwarding, Call Transfer, Auto-answering, PC to phone, phone to PC, Multiple accounts, USP support, Message waiting indicator, SIMPLE-based presence etc.",
Empathy,Linux,GPL,,"SIP, XMPP (Jingle), ICE (STUN-TURN), Zeroconf",,,,"IM, multi-user A/V,[7] collaborative applications",
Eyeball Chat,Windows,,,"SIP, STUN, ICE, XMPP",,,5[8],"IM, Conferencing, Voice, Video and SIMPLE based presence",Windows 3.2; 2009
eyeBeam,Windows,,,SIP-SIMPLE,,"TLS, SRTP",6 party audio; 3 party video,Voice and Video calling; IM; Import Microsoft Outlook Contacts; USB Support; Call Recording and Conferencing,1.5.20.1; 201003
FaceTime,"iOS, macOS",,,"IETF, technologies for traversing firewalls and NAT","H.264 Video, AAC-ELD Audio, H.263 and VP8",standards for delivering real-time and encrypted media streams for VoIP.,20,"Video, voice, conferencing, with additional tools available as "Services".",
Google Hangouts,"Linux, Windows, macOS, Android, iOS",,,XMPP,"H.264/SVC, H.264/AVC, H.263 and VP8",SRTP,10,"Video, chat, screen sharing, with additional tools available as "Hangout Apps".",
IBM Sametime,"Linux, macOS, Windows, mobile",,,"SIP-SIMPLE, T.120",H.323,TLS,,"IM, File transfer, Voice, Presence, Server stored contact list, HTTP tunneling, plugins, embedable in Lotus Notes[9]",8.5.2; 20110508
Jami by Savoir-faire Linux,"Android, FreeBSD, iOS, iPhone, Linux, Microsoft Windows, OS X[10]",GPL3,,"SIP, RTP, STUN per account, SRV, DHT, P2P","Audio: Opus, Speex, G.722, G.711, GSM, VP8, G.729, iLBC. Video: H.264, H.263, VP8, MPEG-4","Voice encryption (SRTP with SDES or ZRTP) and signaling encryption (TLS), multiple realms authentication mechanism ",No limit,"Blockchain ID-management, Gnome-KDE client, address book, multiple accounts, unlimited call number, call transfer, call hold-unhold, call recording, multi-way conferencing",
