Name,Latest release,Active,Software license,Type,Windows,macOS,Linux,Textual editor?,Tree view editor?,Graphical editor?,WYSIWYG editor?,XML Schema editor?,Syntax highlighting,Tag folding,Autocomplete using schema,XPath search,XML diff/merge,Payment model,Full-featured free trial period
Adobe FrameMaker,2019,,,Standalone,,,,,,,,,,,,,,,
Altova XMLSpy,2020,,,"Standalone Eclipse Plugin, Visual Studio Plugin",,,,,,,,,,,,,,,
BaseX,current,,Open Source,Standalone,,,,,,,,,,,,,via add-on module,,
CAM Editor,2015 (3.2.2),,Open Source,Standalone,,,,,,,,,,,,,,,
emacs/ nxml-mode,2019 (26.3),,,Emacs mode,,,,,,,,,,,,,,,
MadCap Flare,2019,,,Standalone,,,,,,,,,,,,,,Perpetual and Subscription,
Liquid XML Studio,2020 (18.0.4),,,Standalone + Visual Studio Plugin,,,,,,,,,,,,,,,
Oxygen XML Editor,2020 (22.0),,,Standalone + Eclipse Plugin[3]Web-App,,,,,,,,,,,,,,,30 days
Quark Author Web Edition on Quark Publishing Platform,2014 (10.5),,,Web-App,,,,,Sections Only,,,,,,,,,,
Stylus Studio,2014 (X15 R2),,,Standalone,,,,,,,,,,,,,,,
Xeditor,April 2020 (6.4),,,Web-app,,,,,,,,,,,,,,Subscription,
Xerlin,2005 (1.3),,Open Source,Standalone,,,,,,,,,,,,,,,
XMetaL,2018 (13.0),,,Standalone,,,,,,,,,,,,,,,
XML Notepad,2020 (2.8.0.11),,Microsoft Public License,Standalone,,,,,,,,,,,,,,,
