Company,Software,On-demand scan,On-access scan,Boot-time scans,Heuristics,CloudAV,Firewall,IDS,IPS,Sandbox,Email Security,AntiSpam,Web protection,Macro protection,Live Update,Support,Settings Import/ Export,installer/ updater MIMA safe,License,Price,First release,Country of origin,Original author/s,Notes
AhnLab,AhnLab V3 365 Clinic,,,,,,,,,?,,,,,,,?,?,,,1988,South Korea,Dr. Ahn Cheol-Soo,
AhnLab,AhnLab V3 Internet Security,,,,,,,,,?,,,,,,,?,?,,,1988,South Korea,Dr. Ahn Cheol-Soo,
AhnLab,AhnLab V3 Lite,,,,,,,,,,,,,,,,?,?,,,2010,South Korea,Dr. Ahn Cheol-Soo,
Avast,Avast Free Antivirus,,,,,,,,,,,,,,,,,?,,,1988,Czech Republic,Pavel Baudiš and Eduard Ku?era,
Avast,Avast Premium Security,,,,,,,,,,,,,,,,,?,,Trialware,1997,Czech Republic,Pavel Baudiš and Eduard Ku?era,
AVG Technologies (avast),AVG Antivirus FREE,,,,,,,,,?,,,,,,,,?,,,1992,Czech Republic,Jan Gritzbach and Tomáš Hofer,
AVG Technologies (avast),AVG Antivirus,,,,,,,,,?,,,,,,,,?,,,2006,Czech Republic,Jan Gritzbach and Tomáš Hofer,
AVG Technologies (avast),AVG Internet Security,,,,,,,,,?,,,,,,,,?,,,2008,Czech Republic,Jan Gritzbach and Tomáš Hofer,
Avira,Avira Antivirus FREE,,,,,,,,,?,,,,,,,?,?,,,1988,Germany,Tjark Auerbach,
Avira,Avira Internet Security,,,,,,,,,?,,,,,,,?,?,,,2002,Germany,Tjark Auerbach,
Bitdefender,Bitdefender Antivirus Free,,,,,,,,,,,,,,,,?,?,,,2013,Romania,,
Bitdefender,Bitdefender Antivirus Plus,,,,,,,,,,,,,,,,?,?,,,1996,Romania,,
Bitdefender,Bitdefender Internet Security,,,,,,,,,,,,,,,,?,,,,2008,Romania,,
Check Point,ZoneAlarm PRO Antivirus + Firewall,,,,,,,,,?,,,,,,,,?,,,2002,Israel,,Third-party antivirus engine (Kaspersky) [2]
Check Point,ZoneAlarm Extreme Security,,,,,,,,,?,,,,,,,,?,,,2002,United States,,
Cisco (originally Immunet),Immunet,,,,,,,,,?,,,,,,,?,?,,,2010,United States,,Third-party antivirus engine (ClamAV)
ClamWin,ClamWin,,,,,,,,,?,,,,,,,?,?,,,2002,Australia,,Third-party antivirus engine (ClamAV)
Comodo Group,Comodo Antivirus,,,,,,,,,,,,,,,,,?,,,2008,United States,,Protection via containment of untrusted executable code
Comodo Group,Comodo Internet Security,,,,,,,,,,,,,,,,,?,,,2010,United States,,Protection via containment of untrusted executable code
Dr.Web,Dr.Web Anti-virus,,,,,,,,,,,,,,,,,,,Trialware,1992,Russia,Igor Danilov,macOS/Linux feature only
Dr.Web,Dr.Web Security Space,,,,,,,,,,,,,,,,,,,Trialware,2006,Russia,Igor Danilov,
ESET,ESET NOD32 Antivirus,,,,,,,,,?,,,,,,,,?,,Trialware[5],1987,Slovakia,Peter Paško and Miroslav Trnka,
ESET,ESET Smart Security,,,,,,,,,?,,,,,,,,,,Trialware[5],2007,Slovakia,Peter Paško and Miroslav Trnka,
F-Secure,F-Secure Antivirus,,,,,,,,,?,,,,,,,?,?,,,1991,Finland,Petri Allas and Risto Siilasmaa,Third-party antivirus engine (Bitdefender)
F-Secure,F-Secure SAFE,,,,,,,,,?,,,,,,,?,?,,,2004,Finland,Petri Allas and Risto Siilasmaa,Third-party antivirus engine (Bitdefender)
FRISK Software,F-PROT Antivirus,,,,,,,,,?,,,,,,,?,?,,Trialware,1989,Iceland,Friðrik Skúlason (second engine also with Dr. Vesselin Bontchev),
Fortinet,FortiClient,,,,,,,,,?,,,,,,,?,?,,,2004,United States,,
G Data Software,G DATA AntiVirus,,,,,,,,,?,,,,,,,?,?,,,1987,Germany,Andreas Lüning and Kai Figge,Third-party antivirus engine (Bitdefender)
G Data Software,G DATA InternetSecurity,,,,,,,,,?,,,,,,,?,?,,,2004,Germany,Andreas Lüning and Kai Figge,Third-party antivirus engine (Bitdefender)
Kaspersky Lab,Kaspersky Anti-Virus,,,,,,,,,?,,,,,,,?,?,,,1997,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG
Kaspersky Lab,Kaspersky Internet Security,,,,,,,,,?,,,,,,,?,?,,,2007,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG
Kaspersky Lab,Kaspersky Total Security,,,,,,,,,?,,,,,,,,?,,,,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG
McAfee,McAfee Antivirus,,,,,,,,,?,,,,,,,?,?,,,1987,United States,John McAfee,John McAfee "uninstall video" scandal
McAfee,McAfee Internet Security,,,,,,,,,?,,,,,,,?,?,,,2006,United States,John McAfee,John McAfee "uninstall video" scandal
