Audio compression format,Algorithm,Sample rate,Bits per sample,Latency,Stereo,Multichannel
ALAC,Lossless,1–384000 Hz,"16, 20, 24, 32[56]",,,
ALS,Lossless,0–4 GHz,"8, 16, 24, 32 (int or float)",,,
ATRAC Advanced Lossless,,,,,,
Dolby TrueHD,Lossless,"48, 96, 192 kHz","16, 20, 24",,,"
DTS-HD Master Audio,Lossless,Up to 192 kHz,,,,
FLAC,Lossless,1–655350 Hz,"4, 8, 16, 20, 24, 32 [59]",4.3–92 ms (46.4 ms typical),,
HD-AAC,,,,,,
Monkey's Audio,Lossless,1–655350 Hzdate=June 2015,"8, 16, 24","1670 to 26,749 ms (varies with compression)",,
OptimFROG,,,,,,
OSQ,,,,,,
RealAudio Lossless,Lossless,Varies (see article),Varies (see article),Varies,,
True Audio (TTA),Lossless,0–4 GHz,1 to > 64,approx. 1045 ms[60],,
WavPack Lossless,"Lossless, Hybrid",1 Hz to 16.777216 MHz,Varies in lossless mode; supports 32-bit float input; 2.2 minimum in lossy mode,,,
Windows Media Audio Lossless,Lossless,"8, 11.025, 16, 22.05, 32, 44.1, 48, 88.2, 96 kHz","16, 24",>100 ms,,
