Audio player,Flash,RealPix,QuickTime Video Effects in mov,HTML+TIME(+VML),smil/smi,SVG,MIDI(smf),MIDI(kar),MIDI(xmf),MIDI(rmi),MIDI(xmi),NSF,SPC,PSF
AIMP,,,,,,,,,,,,,,
Amarok,,,,,,,,,,,,,,
Audacious,,,,,,,,,,,,,,
Audion,,,,,,,,,,,,,,
cmus,,,,,,,,,,,,,,
Cog,,,,,,,,,,,,,,
foobar2000,,,,,,,Yes (plugin),,,Yes (plugin),Yes (plugin),Yes (plugin),Yes (plugin),Yes (plugin)
JuK,,,,,,,,,,,,,,
JRiver Media Center,,,,,,,,,,,,,,
MediaMonkey,,,,,,,,,,,,Yes (Winamp plugin),Yes (Winamp plugin),Yes (Winamp plugin)
MPXPLAY,,,,,,,,,,,,,,
MusicBee,,,,,,,,,,,name=through_gstreamer,,,
Musicmatch Jukebox,,,,,,,,,,,,,,
musikCube,,,,,,,,,,,,,,
Rhapsody,,,,,,,,,,,,,,
Rhythmbox,,,,,,,,,,,,,,
Sayonara Player,,,,,,,,,,,,,,
Sonique,,,,,,,,,,,,,,
XMMS,,,,,,,,,,,,,,
Zinf,,,,,,,,,,,,,,
Audio player,Flash,RealPix,QuickTime Video Effects in mov,HTML+TIME(+VML),smil/smi,SVG,MIDI(smf),MIDI(kar),MIDI(xmf),MIDI(rmi),MIDI(xmi),NSF,SPC,PSF
