Audio player,AVI,ASF,QuickTime,Ogg,OGM,Matroska,MP4,MPEG-21,NUT,FLV
AIMP,,,,,,,Partial,,,
Amarok,,,,,Basic,Basic,,,,
Audacious,,,,,,,,,,Audio only
Audion,,,,,,,,,,
cmus,,,,Vorbis only,,Basic,,,,
Cog,,,,,,,,,,
foobar2000,name=plugin,,,,,,,,,Audio only
JuK,,,,Vorbis only,,,,,,
JRiver Media Center,,,,,,,,,,
MediaMonkey,,,,Vorbis only,,,,,,
MOC,,,,,,,,,,
MPXPLAY,,,,,,,,,,
MusicBee,,,,Vorbis only,,,AAC only,,,
Musicmatch Jukebox,,,,,,,,,,
musikCube,,,,Vorbis only,,,,,,
Rhapsody,,,,,,,,,,
Rhythmbox,,,,Vorbis only,,,name=through_gstreamer,,,
Sayonara Player,,,,Vorbis only,,,,,,
Sonique,name=autodl,,,,,,,,,
Winamp,,,name=plugin,,,,,,,
XMMS,,,,Vorbis only,,,,,,
Zinf,,,,Vorbis only,,,,,,
Audio player,AVI,ASF,QuickTime,Ogg,OGM,Matroska,MP4,MPEG-21,NUT,FLV
