Audio player,Windows,macOS,Linux,iOS,Android,BSD Unix,Solaris,Other Unix,DOS
AIMP,,,via Wine,,,via Wine,,,
Amarok,,beta,,,,,,,
aTunes,,,,,,,,,
Audacious,,,,,,,,,
Audion,,,,,,,,,
Banshee,alpha,beta,,,,,,,
cmus,,,,,,,,,
Cog,,,,,,,,,
Clementine,,,,,remote controller only,,,,
Ecoute,,,,,,,,,
Exaile,,,,,,,,,
foobar2000,,beta[1],via Wine[2],,,via Wine[2],,,
Guayadeque Music Player,,,,,,,,,
Groove Music,,,,,,,,,
iTunes,,,,,,,,,
JRiver Media Center,,,,remote controller only,,,,,
MediaMonkey,,,,,,,,,
MPXPLAY,,,,,,,,,
Music Player Daemon,cygwin,,,,,,,,
MusicBee,,,,,,,,,
Musicmatch Jukebox,,,,,,,,,
musikCube,,,,,remote control only[4],,,,
Quod Libet,,,,,,,,,
Rdio,,,,,,,,,
Rhapsody,,,,,,,,,
Rhythmbox,,,,,,,,,
Sayonara Player,,,,,,,,,
Songbird,,,,,,,,,
Sonique,,,,,,,,,
Spotify,,,,,,,,,
Style Jukebox,,,,,,,,,
Winamp,,,,,,,,,
XMMS,,,,,,,,,
XMPlay,,,,,,,,,
Zinf,,,,,,,,,
Audio player,Windows,macOS,Linux,iOS,Android,BSD Unix,Solaris,Other Unix,DOS
