Audio player,Lossy compression,,,,,,,,,Lossless compression,,,,,
,MP3,WMA,RealAudio,Vorbis,Musepack,AAC,Dolby AC-3,VQF,Opus,APE,FLAC,ALAC,SHN,WV,WMA L
AIMP,,,,,,,,name=through_winampAvailable through a Winamp plugin.,,,,,,,
"AmarokAmarok uses non-Amarok libraries to decode audio. It will play any file for which a codec is available on the system. The default libraries in Linux are from the GStreamer project, and in Windows from the VLC project.[17][18]",,,,,,,,,,,,,,,
Audacious,,,,,,,,,name=through_ffmpeg,,,,,,
Audion,,,,,,,,,,,,,,,
Banshee,,,,,,,,,,,,,,,
cmus,,name=through_ffmpegAvailable through a FFmpeg plugin.,,,,,name=through_ffmpeg,,name=through_opusfileAvailable through the opusfile plugin.,name=through_ffmpeg,,name=through_ffmpeg,name=through_ffmpeg,,
Cog,,,,,,,,,,,,,,,
Exaile,name=through_gstreamerAvailable through a Gstreamer plugin.,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,,,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,
foobar2000,,,,,,,name=plugin,,,,,,,,
Groove Music,,,,,,,,,,,,,,,
JRiver Media Center,,,,,,,,,,,,,,,
JuK,,,,,,,,,,,,,,,
Media Jukebox,,,,,,,,,,,,,,,
MediaMonkey,,,,,,name=autodlAvailable via plugins that can be automatically downloaded during installation.,name=autodl,,,,,,name=plugin,name=plugin,
MPXPLAY,,,,,,,,,name=plugin,,,,,,
Music Player Daemon,,name=through_ffmpeg,name=through_ffmpeg,,,,name=through_ffmpeg,name=through_ffmpeg,,name=through_ffmpeg,,,name=through_ffmpeg,,
MusicBee,,,,,,,,name=through_winamp,,,,,name=through_winamp,,
Musicmatch Jukebox,,,,,,,,,,,,,,,
musikCube,,name=autodl,,,name=autodl,name=autodl,name=autodl,,,,,,,name=autodl,
Quod Libet,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,,,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,
Rhapsody,,,,,,,,,,,,,,,
Rhythmbox,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,
Sayonara Player,,,,,,,,,,,,,,,
Sonique,,,,,name=autodl,name=autodl,,,,,,,,,
Spotify[20],,,,,,,,,,,,,,,
Style Jukebox,,,,,,,,,,,,,,,
Winamp,,,name=plugin,,name=plugin,,,,,,,,,name=plugin,
XMMS,,name=autodl,name=autodl,name=autodl,,,,name=plugin,,name=autodl,,,name=autodl,,
XMPlay,,name=plugin,name=plugin,,name=plugin,name=plugin,name=plugin,,name=plugin,name=plugin,name=plugin,name=plugin,name=plugin,name=plugin,
Zinf,,,,,,,,,,,,,,,
Audio player,MP3,WMA,RealAudio,Vorbis,Musepack,AAC,Dolby AC-3,VQF,Opus,APE,FLAC,ALAC,SHN,WV,WMA L
