Audio player,Video playback,Outbound streaming,Skinnable,Media database,Gapless audio decoding,Visualizer,Remote controllable,Intelligent playlists from database (based on criteria)
AIMP,,via Plugins,,,,,via Plugins,
Amarok,,,,,,,,
Audacious,,,,,,,,
Audion,,,,,,,,
cmus,,,,,,,,
Cog,,,,,,,,
Clementine,,,,,,,,
Exaile,,,,,,,,
foobar2000,,name=pluginPlugin available.,,,,,name=plugin,
iTunes,,,name=plugin,,,,,
JRiver Media Center,,via Plugins,,,,,via Plugins,
JuK,,,,,,,,
MediaMonkey,,name=plugin,,,,,name=plugin,
MPXPLAY,,,text-interface,,,,,
Music Player Daemon,,,Client dependent,,,Client dependent,,Client dependent
MusicBee,,,,,,,,
Musicmatch Jukebox,,,,,,,,
musikCube,,,,,,name=plugin,,
Quod Libet,,,,,,,,
Rhapsody,,,,,,,,
Rhythmbox,,,,,,,,
Sayonara Player,,,,,,,,
Sonique,name=plugin,,,,,,,
Spotify,,,,,,,,
Winamp,,,,,,,,
XMMS,name=plugin,name=plugin,,,name=plugin,,,
XMPlay,name=plugin,name=plugin,,,,,,
Zinf,,,,,,,,
Audio player,Video playback,Outbound streaming,Skinnable,Media database,Gapless audio decoding,Visualizer,Remote controllable,Intelligent playlists from database (based on criteria)
