Name,License,Can reside in,,,,Can boot from,,,,,,,,Can boot,,,,,,,,
,,ESP (UEFI),MBR,VBR,Floppy,Hard disk,Second Hard disk,Logical partitions,CD-ROM,Floppy,USB,Zip,LAN,MS-DOS,Windows 9x/Me,Windows NT series,Windows Vista/7/8/10,Linux,ReactOS,MenuetOS,*BSD,Mac OS X
Acronis OS Selector,,,,,,,,,,,,,,,,,,,,,,
AiR-BOOT,GPLv3,,,,,,,,,,,,,,,,,,,,,
AKernelLoader,GPLv2,,,,,,,,,,,,,,,,,,,,,
Barebox,GPLv2,,,,,,,,,,,,,,,,,,,,,
BOOTBOOT,MIT,,,,,,,,,,,,,,,,,,,,,
Boot Manager,,,,,,,,,,,,,,,,,,,,,,
BootIt Bare Metal (formerly BootIt Next Generation),,,,,,,,,,,,,,,,,,,,,,
BootKey,,,,,,,,,,,,,,,,,,,,,,
BootManager,MIT,,,,,,,,,,,,,,,Calls NTLDR,Calls Windows Boot Manager,Calls GRUB or LILO,,,,
BootX (Apple),,,,,,,,,,,,,,,,,,,,,,
BootX (Linux),,,,,,,,,,,,,,,,,,,,,,
Clover (fork of rEFIt),GPLv2/BSD license,,,,,,,,,,,,,,,,,,,,,
Darwin Boot Loader,APSL 2.0,,,,,,,,,,,,,,,,,,,,,
Das U-Boot,GPLv2,,,,,,,,,,,,,,,,,,,,,
GAG,GPLv2+,,,,,,,,,,,,,,,Calls NTLDR,Calls Windows Boot Manager,Calls GRUB or LILO,Calls bootloader,Calls bootloader,Calls bootloader,
GRUB Legacy,GPLv2+,,,,,,,,,,,,,,,Calls NTLDR,Calls Windows Boot Manager,,Calls FreeLoader,,,
GNU GRUB,GPLv3,,,,,,,,,,,,,,,Calls NTLDR,Calls Windows Boot Manager,,Calls FreeLoader,,,
Grub2Win,GPLv3,,,,,,,,,,,,,,,Calls NTLDR,Calls Windows Boot Manager,,,,,Calls Clover
GRUB4DOS,GPLv2+,,,,,,,,,,,,,,,Calls NTLDR,Calls Windows Boot Manager,,,,,
Gujin [1],GPLv2,,,,,,,,,,,,,,,Calls NTLDR,,,,,,
systemd-boot / Gummiboot,LGPL 2.1,,,,,,,,,,,,,,,Windows Server 2013 64bits with UEFI only,Calls Windows Boot Manager[1],,,,UEFI only,
iBoot,,,,,,,,,,,,,,,,,,,,,,
LILO,BSD license,,,,,,,,,,,,,,,Calls NTLDR,,,,,"Calls biosboot (FreeBSD, PC-BSD, ...)",
loader(8),BSD license,,,,,,,,,,,,,,,,,,,,",
loadlin,GPLv2+,,,,,,,,,,,,,,,,,,,,,
MasterBooter,,,,,,,,,,,,,,,,,,,,,,
NTLDR,,,,,,,,,,,,,,,,,,Calls GRUB4DOS,,,,Calls Darwin bootloader[2]
OSL2000 Boot Manager,,,,,,,,,,,,,,,,,,Calls GRUB or LILO,,,,
"PLoP Bootmanager, Plop Boot Manager Six (PBM6)",,,,,,,,,,,,,,,,,,Calls GRUB or LILO,,,,
RedBoot,mod GPLv2+,,,,,,,,,,,,,,,Calls NTLDR,Calls Windows Boot Manager,,Calls FreeLoader,,,
rEFInd (fork of rEFIt),GPLv3/BSD license,,,,,,,,,,,,,,,,,,,,,
rEFIt (not maintained),GPLv2/BSD license,,,,,,,,,,,,,,,,,,,,,
Smart Boot Manager,GPLv2+,,,,,,,,,,,,,,,,,,,,,
SPFdisk,GPLv2+,,,,,,,,,,,,,,,,,,,,,
SYSLINUX,GPLv2+,,,,,,,,,,,,,,,Calls NTLDR,Calls Windows Boot Manager,,,,via mboot.c32 module [2],
Tianocore EDK II,BSD-2-Clause,,,,,,,,,,,,,,,,,,,,",
XOSL,GPLv2,,,,,,,,,,,,,,,,,,,,,
Windows Boot Manager,,,,,,,,,,,,,,,,Calls NTLDR,,Calls GRUB or LILO,,,,
FreeLoader (ReactOS Boot Loader),GPLv2+,,,,,,,,,,,,,,,,Calls Windows Boot Manager,,,,,
Name,Software license,Can reside in,,,,Can boot from,,,,,,,,Can boot,,,,,,,,
,,ESP (UEFI),MBR,VBR,Floppy,Hard disk,Second hard disk,Logical partitions,CD-ROM,Floppy,USB,Zip,LAN,MS-DOS,Windows 9x/Me,Windows NT series,Windows Vista/7/8,Linux,ReactOS,MenuetOS,*BSD,Mac OS X
