Software,Networkable,Headphone-free sessions,Background noise,"Embed audio (sounds, music, hypnosis)",Volume modulation for embedded audio,Export as sound file,User-created sessions,Pre-made sessions
BeeOne SMOD/HMS,,,,,,,,
Brain Equalizer,,,,,,,,
Binaural Beethoven,,,,,,,,
BrainWave Generator,,,",,,,,
BrainWaveProducer,,,",,,",,
Gnaural,,,,,,",,
BrainIgniter Player,,,",,,,,
Neuro Entrainment,,,,,,,,
Neuro-Programmer 3,,,",,,",,
Mind WorkStation,,,",,,",,
SBaGen,,,,",,",,
Brainwave Studio,,,,,,,,
Discord,,,",",,",,
Isochronic Tone Generator,,,,,,,,
Lux VST Brainwave Entrainment Instrument,,,,,,,,
Neuro Sequencer Pro,,,,,,",,
SHARM Studio 5,,,",",,",,
