Client,Creator,Software license,Latest release
BookmarkSync,Jack Dean,Proprietary,
Opera,Opera Software,Proprietary,Opera: 
SiteBar,Ondrej Brablc,GPL,3.4 20140212df=yes
Firefox Sync,Mozilla Foundation,Mozilla Public License,
Google Chrome,Google,Freeware under Google Chrome Terms of Service,
Pale Moon Sync,M.C. Straver,Mozilla Public License,N/A (part of Pale Moon)
,,,
Eversync,Nimbus Web Inc,Proprietary,
floccus,"Open Source, Marcel Klehr",Freeware Mozilla Public License 2.0,https://github.com/marcelklehr/floccus/releases
Client,Creator,Software license,Latest release
