Software,Microsoft Windows,,,,,,,,,Darwin/ OS X,Linux,,,,IBM,,,,HP-UX,illumos/ Solaris,iOS-->
,2000,XP,Vista,2003 Server,2008 R2 Server,2008 Server,2012 Server,7 – 64 bit,8 – 64 bit,,Red Hat,SUSE,Ubuntu,CentOS,AIX,OS/390,i5/OS,z/OS,,,
AdroitLogic UltraESB,,,,,,,,,,,,,,,,,,,,,
Anypoint Platform,,,,,,,,,,,,,,,,,,,,,
Artix ESB,"with SP3, SP4","with SP1, SP2",,,,,,,,,,,,,,,,,,,
Automation Anywhere Integration Pack,,,,,,,,,,,,,,,,,,,,,
BizTalk Server,,,,,,,,,,,,,,,,,,,,,
Flow Software,,,,,,,,,,,,,,,,,,,,,
IBM Integration Bus [23],,,,,,,,,,,,,,,,,,,,,
JBoss Enterprise Service Bus (ESB),,,,,,,,,,,,,,,,,,,,,
JBoss Enterprise SOA Platform,,,,,,,,,,,,,,,,,,,,,
Informatica Power Center,,,,,,,,,,,,,,,,,,,,,
Openadaptor,,,,,,,,,,,,,,,,,,,,,
OpenESB,,,,,,,,,,,,,,,,,,,,,
OpenLink Virtuoso,,,,,,,,,,,,,,,,,,,,,
Oracle BPEL Process Manager,,,,,,,,,,,,,,,5L,,,,,,
Oracle Enterprise Service Bus,,,,,,,,,,,,,,,,,,,,,
PEtALS ESB,,,,,,,,,,,,,,,,,,,,,
SAP Exchange Infrastructure,,,,,,,,,,,,,,,,,,,,,
ServiceMix,,with SP2,,,,,,,,,,,,,,,,,,,
Sonic ESB,,,,,,,,,,,,,,,,,,,,,
Spagic,,,,,,,,,,,,,,,,,,,,,
Sun Java Composite Application Platform Suite,,,,,,,,,,,,,,,,,,,,,
TrackerSuite.Net,,with SP2,,,,,,,,,,,,,,,,,,,
Unify NXJ,with SP4,with SP1,,,,,,,,,,,,,5.3,,,,,,
WSO2 Enterprise Service Bus (ESB),,,,,,,,,,,,,,,,,,,,,
